time,CH1
26:27.724,1549.911366
26:27.725,1549.821223
26:27.727,1549.943016
26:27.728,1549.921380
26:27.731,1550.031968
26:27.739,1550.047997
26:27.748,1549.859682
26:27.774,1550.020748
26:27.986,1550.020748
26:28.014,1549.893335
26:28.029,1549.803597
26:28.030,1549.870098
26:28.031,1549.830037
26:28.033,1549.816416
26:28.034,1549.942214
26:28.035,1550.040784
26:28.038,1550.000713
26:28.039,1549.717074
26:28.040,1550.001515
26:28.042,1549.951830
26:28.043,1550.005522
26:28.044,1549.815615
26:28.045,1549.741908
26:28.046,1549.895739
26:28.046,1549.916572
26:28.047,1549.959844
26:28.048,1550.003118
26:28.084,1549.999111
26:28.093,1549.900546
26:28.095,1550.157000
26:28.096,1549.914970
26:28.097,1550.166619
26:28.098,1549.880515
26:28.099,1550.015139
26:28.100,1549.907758
26:28.101,1549.935002
26:28.102,1550.062423
26:28.104,1549.787573
26:28.104,1549.921380
26:28.106,1549.890130
26:28.107,1550.120130
26:28.107,1550.025557
26:28.107,1549.988693
26:28.108,1549.955837
26:28.108,1549.991097
26:28.108,1549.927791
26:28.109,1550.031167
26:28.109,1549.899745
26:28.109,1549.874104
26:28.110,1549.979076
26:28.110,1549.862086
26:28.110,1550.088070
26:28.112,1549.834844
26:28.112,1550.057614
26:28.112,1549.971864
26:28.113,1550.026358
26:28.154,1550.034373
26:28.161,1549.841254
26:28.161,1550.027160
26:28.163,1549.955036
26:28.163,1549.904553
26:28.163,1549.790778
26:28.164,1549.748317
26:28.164,1549.854073
26:28.164,1550.026358
26:28.165,1549.982282
26:28.165,1550.152992
26:28.166,1549.976672
26:28.166,1549.983083
26:28.167,1550.039181
26:28.167,1549.860483
26:28.167,1549.881316
26:28.168,1549.662601
26:28.168,1549.843657
26:28.169,1549.756329
26:28.169,1549.935002
26:28.170,1550.035975
26:28.170,1549.970261
26:28.172,1550.065629
26:28.172,1549.935804
26:28.173,1550.012734
26:28.173,1549.989494
26:28.173,1549.854073
26:28.174,1549.783568
26:28.174,1549.773153
26:28.174,1549.795585
26:28.175,1549.971864
26:28.175,1549.834844
26:28.175,1549.969460
26:28.176,1549.990296
26:28.176,1549.943817
26:28.176,1550.071239
26:28.177,1549.860483
26:28.177,1550.022351
26:28.177,1549.822024
26:28.178,1549.919777
26:28.178,1550.069636
26:28.178,1549.927791
26:28.180,1549.918976
26:28.181,1549.977474
26:28.231,1549.967857
26:28.240,1549.914970
26:28.240,1549.898143
26:28.241,1549.937406
26:28.243,1549.997508
26:28.243,1549.940612
26:28.243,1550.080055
26:28.244,1549.966255
26:28.244,1549.951830
26:28.245,1549.877309
26:28.245,1549.810808
26:28.245,1549.916572
26:28.246,1549.693041
26:28.246,1549.862887
26:28.247,1549.834844
26:28.247,1549.960645
26:28.248,1550.023954
26:28.248,1549.904553
26:28.249,1550.015139
26:28.249,1549.898944
26:28.249,1549.870899
26:28.250,1549.854073
26:28.253,1549.766743
26:28.259,1549.792380
26:28.263,1549.789977
26:28.299,1549.845260
26:28.305,1550.040784
26:28.306,1549.962248
26:28.306,1549.971864
26:28.307,1550.043188
26:28.307,1549.916572
26:28.308,1549.996707
26:28.308,1549.850067
26:28.309,1549.898143
26:28.313,1549.769147
26:28.319,1549.827633
26:28.323,1549.989494
26:28.329,1549.865291
26:28.362,1550.039983
26:28.363,1549.849266
26:28.373,1549.886925
26:28.373,1549.897341
26:28.374,1549.832440
26:28.374,1549.934201
26:28.374,1549.848465
26:28.374,1549.858881
26:28.376,1549.922983
26:28.379,1549.826832
26:28.383,1549.906957
26:28.389,1549.991097
26:28.394,1549.861284
26:28.398,1549.971063
26:28.427,1549.773153
26:28.434,1550.007926
26:28.435,1549.912566
26:28.435,1549.996707
26:28.436,1550.053607
26:28.437,1549.829235
26:28.437,1549.902149
26:28.438,1549.879713
26:28.443,1549.977474
26:28.448,1549.888527
26:28.453,1549.809205
26:28.458,1549.947824
26:28.488,1549.929393
26:28.496,1550.050401
26:28.497,1550.120130
26:28.498,1549.838850
26:28.498,1549.880515
26:28.498,1549.885322
26:28.499,1549.850868
26:28.499,1549.942214
26:28.504,1549.942214
26:28.508,1549.826030
26:28.513,1549.732295
26:28.519,1549.918175
26:28.552,1550.083261
26:28.559,1549.971063
26:28.560,1549.986289
26:28.560,1549.886925
26:28.561,1549.907758
26:28.561,1549.859682
26:28.562,1549.786772
26:28.562,1549.697047
26:28.563,1549.780363
26:28.568,1549.813211
26:28.573,1549.985487
26:28.579,1549.914970
26:28.583,1549.970261
26:28.616,1549.935002
26:28.624,1549.895739
26:28.625,1549.949426
26:28.625,1549.735499
26:28.626,1549.934201
26:28.626,1549.705058
26:28.627,1549.846862
26:28.627,1549.879713
26:28.629,1549.840452
26:28.634,1549.909361
26:28.638,1549.943016
26:28.644,1549.950228
26:28.678,1549.955837
26:28.685,1549.890130
26:28.686,1549.889329
26:28.687,1549.967056
26:28.688,1549.823627
26:28.688,1549.999111
26:28.688,1549.789977
26:28.691,1549.912566
26:28.692,1549.834043
26:28.693,1549.947022
26:28.698,1550.015139
26:28.704,1549.900546
26:28.708,1550.048798
26:28.743,1549.979076
26:28.743,1550.179444
26:28.750,1550.121733
26:28.750,1550.017543
26:28.751,1549.756329
26:28.751,1549.709063
26:28.751,1549.840452
26:28.752,1549.882117
26:28.753,1549.834844
26:28.758,1549.988693
26:28.764,1549.961446
26:28.768,1549.959844
26:28.773,1550.218722
26:28.804,1549.926989
26:28.811,1550.023954
26:28.812,1550.023954
26:28.813,1549.893335
26:28.813,1549.858079
26:28.813,1549.801995
26:28.814,1549.950228
26:28.814,1549.886925
26:28.818,1549.967857
26:28.823,1549.932598
26:28.829,1549.924585
26:28.834,1549.983885
26:28.867,1549.968659
26:28.868,1549.960645
26:28.874,1550.012734
26:28.875,1549.842055
26:28.877,1549.967857
26:28.877,1549.834844
26:28.878,1549.888527
26:28.878,1550.011132
26:28.880,1549.785170
26:28.883,1550.010330
26:28.888,1549.914168
26:28.893,1549.960645
26:28.898,1549.985487
26:28.931,1549.919777
26:28.938,1549.955036
26:28.939,1549.905354
26:28.939,1549.922983
26:28.940,1550.007125
26:28.940,1549.866893
26:28.941,1549.819621
26:28.941,1549.845260
26:28.943,1549.874906
26:28.948,1550.007125
26:28.954,1549.964652
26:28.959,1550.108908
26:28.963,1549.974268
26:28.992,1550.100092
26:28.998,1550.122534
26:28.998,1549.941413
26:28.999,1549.937406
26:28.999,1549.685031
26:29.000,1549.784369
26:29.000,1549.820422
26:29.004,1549.850067
26:29.009,1549.879713
26:29.014,1549.865291
26:29.018,1549.972665
26:29.054,1550.161809
26:29.058,1549.993501
26:29.059,1549.979076
26:29.059,1549.895739
26:29.061,1549.782766
26:29.061,1549.879713
26:29.061,1549.821223
26:29.062,1549.981480
26:29.063,1549.863688
26:29.069,1549.990296
26:29.073,1550.178642
26:29.079,1550.057614
26:29.083,1550.102497
26:29.115,1549.906155
26:29.120,1549.943016
26:29.122,1549.877309
26:29.122,1549.798790
26:29.122,1549.933400
26:29.123,1549.823627
26:29.123,1549.924585
26:29.124,1549.959844
26:29.129,1549.984686
26:29.133,1550.079254
26:29.141,1550.009529
26:29.172,1549.977474
26:29.176,1549.999111
26:29.177,1549.774755
26:29.178,1549.929393
26:29.180,1549.789977
26:29.180,1549.864489
26:29.180,1549.918175
26:29.181,1549.777158
26:29.184,1549.945420
26:29.188,1549.868496
26:29.193,1549.997508
26:29.199,1550.085665
26:29.204,1549.995104
26:29.231,1550.033571
26:29.238,1549.854073
26:29.238,1549.855676
26:29.240,1549.945420
26:29.240,1549.873303
26:29.241,1549.849266
26:29.241,1549.761937
26:29.244,1549.873303
26:29.249,1549.983885
26:29.253,1549.962248
26:29.259,1550.072040
26:29.264,1549.925387
26:29.292,1549.964652
26:29.297,1550.043990
26:29.297,1549.858881
26:29.298,1549.980679
26:29.298,1549.723483
26:29.299,1549.793182
26:29.299,1549.770749
26:29.303,1549.838850
