time,CH1
37:44.163,1549.926989
37:44.164,1549.926188
37:44.165,1549.926989
37:44.166,1549.926989
37:44.167,1549.926188
37:44.168,1549.926989
37:44.168,1549.926989
37:44.169,1549.926188
37:44.170,1549.925387
37:44.171,1549.926188
37:44.171,1549.925387
37:44.172,1549.925387
37:44.173,1549.926188
37:44.178,1549.926188
37:44.182,1549.926989
37:44.191,1549.925387
37:44.326,1549.924585
37:44.350,1549.925387
37:44.356,1549.925387
37:44.357,1549.926989
37:44.358,1549.928592
37:44.358,1549.927791
37:44.359,1549.926989
37:44.360,1549.925387
37:44.361,1549.926188
37:44.361,1549.927791
37:44.362,1549.926989
37:44.363,1549.926989
37:44.364,1549.926989
37:44.365,1549.927791
37:44.367,1549.927791
37:44.368,1549.925387
37:44.368,1549.927791
37:44.369,1549.926989
37:44.370,1549.927791
37:44.370,1549.926188
37:44.371,1549.926188
37:44.372,1549.926188
37:44.373,1549.926989
37:44.374,1549.926989
37:44.374,1549.926188
37:44.375,1549.926989
37:44.375,1549.926188
37:44.375,1549.926989
37:44.409,1549.927791
37:44.414,1549.925387
37:44.414,1549.926188
37:44.414,1549.926989
37:44.415,1549.926989
37:44.415,1549.926989
37:44.415,1549.925387
37:44.415,1549.926989
37:44.415,1549.926989
37:44.416,1549.927791
37:44.416,1549.926989
37:44.416,1549.926188
37:44.416,1549.926188
37:44.417,1549.926989
37:44.417,1549.927791
37:44.417,1549.926188
37:44.417,1549.927791
37:44.418,1549.927791
37:44.423,1549.927791
37:44.427,1549.926989
37:44.433,1549.925387
37:44.438,1549.926188
37:44.472,1549.926188
37:44.474,1549.928592
37:44.474,1549.927791
37:44.475,1549.926989
37:44.475,1549.928592
37:44.475,1549.926989
37:44.475,1549.926989
37:44.477,1549.924585
37:44.482,1549.926188
37:44.487,1549.927791
37:44.492,1549.927791
37:44.497,1549.927791
37:44.522,1549.925387
37:44.524,1549.926989
37:44.525,1549.926188
37:44.525,1549.926989
37:44.525,1549.927791
37:44.527,1549.926188
37:44.532,1549.926989
37:44.537,1549.926188
37:44.543,1549.926989
37:44.547,1549.926188
37:44.552,1549.926989
37:44.576,1549.926989
37:44.577,1549.926188
37:44.582,1549.927791
37:44.582,1549.926989
37:44.583,1549.926188
37:44.583,1549.926188
37:44.587,1549.925387
37:44.593,1549.926989
37:44.597,1549.926188
37:44.602,1549.927791
37:44.608,1549.926989
37:44.632,1549.926989
37:44.635,1549.926989
37:44.635,1549.928592
37:44.635,1549.927791
37:44.635,1549.926989
37:44.637,1549.926188
37:44.643,1549.925387
37:44.648,1549.927791
37:44.653,1549.926188
37:44.657,1549.926188
37:44.662,1549.926989
37:44.686,1549.926188
37:44.693,1549.926188
37:44.694,1549.926188
37:44.694,1549.926989
37:44.694,1549.926188
37:44.695,1549.927791
37:44.697,1549.926989
37:44.703,1549.926188
37:44.707,1549.925387
37:44.712,1549.926188
37:44.717,1549.926989
37:44.739,1549.926188
37:44.740,1549.926989
37:44.741,1549.926989
37:44.741,1549.926188
37:44.746,1549.926989
37:44.748,1549.925387
37:44.752,1549.926989
37:44.758,1549.926989
37:44.763,1549.926989
37:44.767,1549.927791
37:44.792,1549.925387
37:44.798,1549.926188
37:44.798,1549.925387
37:44.799,1549.926188
37:44.799,1549.926188
37:44.800,1549.926989
37:44.802,1549.927791
37:44.808,1549.926188
37:44.812,1549.926989
37:44.818,1549.926188
37:44.822,1549.926188
37:44.848,1549.925387
37:44.849,1549.926188
37:44.850,1549.926188
37:44.850,1549.926188
37:44.850,1549.926188
37:44.853,1549.926188
37:44.858,1549.926188
37:44.862,1549.926188
37:44.868,1549.925387
37:44.872,1549.926989
37:44.894,1549.926989
37:44.896,1549.926989
37:44.897,1549.926989
37:44.897,1549.926989
37:44.897,1549.925387
37:44.903,1549.926188
37:44.908,1549.925387
37:44.913,1549.925387
37:44.918,1549.926188
37:44.946,1549.926188
37:44.948,1549.926989
37:44.948,1549.926188
37:44.948,1549.926188
37:44.949,1549.926188
37:44.949,1549.926188
37:44.953,1549.926989
37:44.957,1549.926989
37:44.963,1549.926989
37:44.968,1549.926188
37:44.972,1549.927791
37:45.002,1549.926188
37:45.010,1549.926188
37:45.010,1549.924585
37:45.010,1549.925387
37:45.011,1549.926188
37:45.011,1549.926989
37:45.011,1549.928592
37:45.012,1549.926989
37:45.017,1549.926989
37:45.022,1549.926188
37:45.027,1549.926188
37:45.032,1549.927791
37:45.037,1549.926989
37:45.060,1549.926188
37:45.061,1549.925387
37:45.061,1549.926188
37:45.062,1549.926989
37:45.062,1549.926989
37:45.067,1549.926989
37:45.072,1549.926188
37:45.078,1549.926188
37:45.082,1549.927791
37:45.106,1549.926989
37:45.108,1549.925387
37:45.109,1549.926188
37:45.109,1549.926188
37:45.110,1549.926188
37:45.112,1549.925387
37:45.117,1549.926989
37:45.123,1549.927791
37:45.128,1549.927791
37:45.133,1549.926989
37:45.153,1549.926188
37:45.155,1549.926989
37:45.156,1549.926989
37:45.156,1549.927791
37:45.157,1549.926989
37:45.163,1549.926989
37:45.167,1549.926188
37:45.173,1549.926188
37:45.178,1549.924585
37:45.202,1549.926989
37:45.202,1549.926989
37:45.205,1549.926989
37:45.210,1549.926989
37:45.211,1549.926188
37:45.211,1549.926989
37:45.213,1549.925387
37:45.217,1549.924585
37:45.223,1549.925387
37:45.228,1549.925387
37:45.232,1549.926188
37:45.237,1549.926188
37:45.258,1549.927791
37:45.261,1549.926188
37:45.261,1549.926188
37:45.261,1549.926188
37:45.263,1549.925387
37:45.268,1549.924585
37:45.272,1549.926188
37:45.277,1549.926989
37:45.282,1549.926188
37:45.293,1549.926989
37:45.306,1549.926188
37:45.308,1549.926188
37:45.309,1549.925387
37:45.310,1549.926188
37:45.312,1549.927791
37:45.318,1549.926989
37:45.322,1549.926188
37:45.328,1549.926188
37:45.332,1549.925387
37:45.352,1549.926188
37:45.353,1549.925387
37:45.354,1549.926188
37:45.354,1549.926188
37:45.357,1549.926188
37:45.363,1549.926989
37:45.367,1549.926989
37:45.372,1549.926989
37:45.377,1549.926188
37:45.397,1549.925387
37:45.399,1549.924585
37:45.400,1549.925387
37:45.400,1549.927791
37:45.402,1549.926188
37:45.408,1549.926989
37:45.412,1549.926989
37:45.418,1549.925387
37:45.423,1549.924585
37:45.427,1549.925387
37:45.447,1549.927791
37:45.451,1549.926188
37:45.451,1549.926188
37:45.451,1549.926188
37:45.452,1549.926188
37:45.458,1549.925387
37:45.463,1549.925387
37:45.468,1549.925387
37:45.472,1549.924585
37:45.477,1549.926188
37:45.496,1549.927791
37:45.498,1549.926188
37:45.499,1549.925387
37:45.500,1549.925387
37:45.502,1549.926989
37:45.523,1549.924585
37:45.524,1549.925387
37:45.548,1549.925387
37:45.549,1549.926989
37:45.549,1549.927791
37:45.550,1549.924585
37:45.550,1549.925387
37:45.550,1549.925387
37:45.552,1549.926989
37:45.553,1549.926188
37:45.558,1549.926188
37:45.589,1549.926989
37:45.590,1549.926989
37:45.590,1549.926989
37:45.591,1549.925387
37:45.591,1549.926989
37:45.591,1549.928592
37:45.592,1549.929393
37:45.598,1549.927791
37:45.603,1549.926188
37:45.607,1549.926989
37:45.612,1549.926188
37:45.617,1549.926188
37:45.642,1549.925387
37:45.642,1549.926989
37:45.642,1549.927791
37:45.643,1549.928592
37:45.643,1549.927791
37:45.647,1549.926989
37:45.653,1549.926188
37:45.658,1549.926188
37:45.662,1549.926989
37:45.688,1549.926989
37:45.694,1549.926188
37:45.695,1549.927791
37:45.695,1549.927791
37:45.697,1549.926989
37:45.697,1549.926188
37:45.698,1549.924585
37:45.703,1549.925387
37:45.708,1549.928592
37:45.712,1549.929393
37:45.717,1549.926989
37:45.741,1549.926989
37:45.742,1549.926989
37:45.742,1549.927791
37:45.742,1549.925387
37:45.742,1549.925387
37:45.748,1549.926989
37:45.753,1549.926989
37:45.757,1549.928592
37:45.763,1549.927791
37:45.772,1549.926989
37:45.787,1549.927791
37:45.788,1549.927791
37:45.788,1549.926989
37:45.788,1549.926188
37:45.792,1549.925387
37:45.798,1549.926989
37:45.802,1549.926989
37:45.808,1549.925387
37:45.818,1549.924585
37:45.831,1549.926188
37:45.833,1549.926188
37:45.833,1549.926989
37:45.833,1549.926989
37:45.837,1549.926188
37:45.843,1549.926989
37:45.848,1549.926989
37:45.853,1549.926989
37:45.857,1549.926989
37:45.877,1549.926989
37:45.878,1549.926188
37:45.878,1549.927791
37:45.878,1549.926989
37:45.882,1549.927791
37:45.888,1549.926989
37:45.893,1549.926989
37:45.898,1549.927791
37:45.907,1549.926989
37:45.921,1549.927791
37:45.921,1549.926188
37:45.921,1549.926188
37:45.923,1549.926188
37:45.928,1549.926989
37:45.932,1549.928592
37:45.937,1549.926989
37:45.942,1549.925387
37:45.964,1549.926989
37:45.966,1549.926989
37:45.966,1549.928592
37:45.966,1549.926989
37:45.967,1549.926188
37:45.973,1549.926989
37:45.977,1549.926989
37:45.983,1549.926989
37:45.987,1549.926188
37:46.011,1549.926989
37:46.012,1549.926989
37:46.014,1549.926989
37:46.014,1549.927791
37:46.014,1549.926989
37:46.018,1549.926989
37:46.022,1549.926188
37:46.027,1549.926989
37:46.033,1549.926188
37:46.037,1549.926188
37:46.058,1549.927791
37:46.058,1549.927791
37:46.058,1549.926188
37:46.058,1549.926188
37:46.063,1549.926989
37:46.067,1549.926188
37:46.072,1549.926989
37:46.078,1549.928592
37:46.087,1549.927791
37:46.100,1549.926989
37:46.101,1549.926188
37:46.101,1549.925387
37:46.103,1549.926989
37:46.108,1549.927791
37:46.112,1549.928592
37:46.118,1549.927791
37:46.123,1549.926989
37:46.132,1549.926188
37:46.145,1549.927791
37:46.145,1549.926989
37:46.146,1549.926188
37:46.148,1549.926989
37:46.153,1549.927791
37:46.158,1549.926989
37:46.162,1549.926188
37:46.167,1549.926989
37:46.178,1549.926989
37:46.190,1549.927791
37:46.191,1549.926989
37:46.191,1549.926188
37:46.192,1549.926188
37:46.197,1549.926989
37:46.203,1549.927791
37:46.208,1549.927791
37:46.213,1549.927791
37:46.223,1549.926188
37:46.236,1549.926989
37:46.237,1549.926188
37:46.237,1549.927791
37:46.237,1549.926989
37:46.242,1549.927791
37:46.247,1549.927791
37:46.252,1549.926989
37:46.257,1549.926989
37:46.268,1549.926989
37:46.280,1549.926989
37:46.281,1549.926989
37:46.281,1549.928592
37:46.283,1549.926989
37:46.287,1549.927791
37:46.293,1549.926989
37:46.297,1549.926188
37:46.302,1549.925387
37:46.324,1549.926188
37:46.324,1549.927791
37:46.324,1549.926989
37:46.324,1549.926188
37:46.328,1549.926188
37:46.332,1549.925387
37:46.338,1549.925387
37:46.343,1549.924585
37:46.347,1549.926188
37:46.367,1549.926989
37:46.367,1549.926989
37:46.368,1549.927791
37:46.368,1549.924585
37:46.373,1549.926188
37:46.378,1549.926188
37:46.383,1549.926989
37:46.388,1549.927791
37:46.397,1549.926989
37:46.410,1549.927791
37:46.410,1549.925387
37:46.411,1549.926188
37:46.412,1549.926989
37:46.418,1549.925387
37:46.423,1549.926188
37:46.427,1549.926188
37:46.433,1549.926989
37:46.443,1549.925387
37:46.456,1549.926188
37:46.456,1549.927791
37:46.457,1549.927791
37:46.457,1549.926188
37:46.463,1549.926188
37:46.468,1549.926989
37:46.472,1549.926989
37:46.478,1549.927791
37:46.487,1549.927791
37:46.500,1549.926188
37:46.500,1549.926188
37:46.500,1549.926188
37:46.503,1549.926188
37:46.508,1549.926188
37:46.513,1549.926989
37:46.518,1549.927791
37:46.523,1549.926989
37:46.533,1549.924585
37:46.546,1549.924585
37:46.546,1549.926188
37:46.546,1549.926188
37:46.547,1549.924585
37:46.553,1549.926188
37:46.558,1549.926989
37:46.563,1549.926989
37:46.567,1549.926989
