consensus_cluster_id,consensus_level,method_count,supporting_methods,method,mode,angle_state_label,event_start_time_s,event_end_time_s,peak_time_s,peak_anomaly_score,dominant_deviation_feature,global_peak_frequency_hz,representative_local_frequency_hz,local_frequency_low_hz,local_frequency_high_hz,physical_role_candidate,interpretation
C008,two_method_consensus,2,"AVMD,STVMD",AVMD,IMF4,stable_10deg,18.0,20.495,19.0,6.7449075947659525,local_peak_frequency_hz,54.08118915159944,48.5,48.5,48.5,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C008,two_method_consensus,2,"AVMD,STVMD",STVMD,IMF6,stable_10deg,18.0,20.495,19.0,3.7096991771212737,local_peak_frequency_hz,59.97479137691238,48.5,48.5,48.5,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C011,two_method_consensus,2,"IOVMD,VMD",IOVMD,IMF4,stable_10deg,20.0,22.495,21.5,4.363824238858523,envelope_mean_nm,17.793810848400554,17.5,17.5,17.5,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C011,two_method_consensus,2,"IOVMD,VMD",VMD,IMF2,stable_10deg,19.5,22.995,21.0,3.707544777800472,envelope_mean_nm,16.18567454798331,17.0,15.5,17.5,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C011,two_method_consensus,2,"IOVMD,VMD",VMD,IMF3,stable_10deg,19.5,23.495,21.0,6.508335755267509,envelope_mean_nm,17.793810848400554,17.5,17.0,17.5,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C026,four_method_consensus,4,"AVMD,IOVMD,STVMD,SVMD",AVMD,IMF2,stable_43deg,80.5,84.495,81.5,5.087242683632798,local_peak_frequency_hz,17.793810848400554,16.0,15.5,16.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C026,four_method_consensus,4,"AVMD,IOVMD,STVMD,SVMD",IOVMD,IMF3,stable_43deg,69.5,85.495,77.0,7.686862824319449,envelope_mean_nm,15.946627260083448,16.0,15.5,16.5,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C026,four_method_consensus,4,"AVMD,IOVMD,STVMD,SVMD",STVMD,IMF3,stable_43deg,80.5,84.495,81.5,5.106747968154307,local_peak_frequency_hz,17.793810848400554,16.0,15.5,16.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C026,four_method_consensus,4,"AVMD,IOVMD,STVMD,SVMD",SVMD,IMF3,stable_43deg,80.5,84.495,81.5,5.087242683632798,local_peak_frequency_hz,17.793810848400554,16.0,15.5,16.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C027,two_method_consensus,2,"AVMD,SVMD",AVMD,IMF7,stable_43deg,74.5,77.495,75.5,8.093889113719143,local_peak_frequency_hz,90.29468011126563,96.0,96.0,98.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C027,two_method_consensus,2,"AVMD,SVMD",SVMD,IMF10,stable_43deg,75.0,77.495,76.0,5.395926075812762,local_peak_frequency_hz,90.29468011126563,96.0,96.0,96.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C029,two_method_consensus,2,"AVMD,SVMD",AVMD,IMF7,stable_43deg,79.0,81.495,80.0,4.046944556859572,local_peak_frequency_hz,90.29468011126563,89.0,89.0,89.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C029,two_method_consensus,2,"AVMD,SVMD",SVMD,IMF10,stable_43deg,79.0,81.495,80.0,4.046944556859572,local_peak_frequency_hz,90.29468011126563,89.0,89.0,89.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C030,two_method_consensus,2,"IOVMD,VMD",IOVMD,IMF6,stable_43deg,79.0,82.495,80.5,4.633693026335258,envelope_mean_nm,35.626738525730175,36.0,36.0,36.0,angle_movement_response_candidate,anomaly_candidate_not_confirmed_fault
C030,two_method_consensus,2,"IOVMD,VMD",VMD,IMF4,stable_43deg,79.0,81.995,80.5,4.378109281363499,envelope_mean_nm,35.626738525730175,36.0,36.0,36.0,angle_movement_response_candidate,anomaly_candidate_not_confirmed_fault
C035,two_method_consensus,2,"IOVMD,STVMD",IOVMD,IMF2,stable_10deg,94.5,97.495,95.5,6.796869772603942,rms_nm,5.4242002781641165,3.5,3.5,5.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C035,two_method_consensus,2,"IOVMD,STVMD",STVMD,IMF2,stable_10deg,94.5,97.495,96.0,5.165588686012456,rms_nm,2.1905424200278163,3.5,3.0,3.5,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C036,two_method_consensus,2,"STVMD,SVMD",STVMD,IMF5,stable_10deg,94.5,105.495,96.0,6.7449075947659525,local_peak_frequency_hz,39.90785813630041,35.0,34.5,36.5,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C036,two_method_consensus,2,"STVMD,SVMD",SVMD,IMF5,stable_10deg,99.0,101.495,100.0,6.7449075947659525,local_peak_frequency_hz,39.90785813630041,34.75,34.5,35.0,angle_movement_response_candidate,anomaly_candidate_not_confirmed_fault
C036,two_method_consensus,2,"STVMD,SVMD",SVMD,IMF5,stable_10deg,102.5,105.495,103.5,6.070416835289357,local_peak_frequency_hz,39.90785813630041,35.5,35.0,35.5,angle_movement_response_candidate,anomaly_candidate_not_confirmed_fault
C037,five_method_consensus,5,"AVMD,IOVMD,STVMD,SVMD,VMD",AVMD,IMF6,stable_10deg,96.0,98.995,97.0,4.504421244355912,rms_nm,80.04607093184978,80.0,80.0,80.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C037,five_method_consensus,5,"AVMD,IOVMD,STVMD,SVMD,VMD",IOVMD,IMF10,stable_10deg,95.5,98.995,97.0,4.763641766329568,rms_nm,80.04607093184978,80.0,80.0,80.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C037,five_method_consensus,5,"AVMD,IOVMD,STVMD,SVMD,VMD",STVMD,IMF8,stable_10deg,95.5,98.995,97.0,4.985621711050707,envelope_mean_nm,80.04607093184978,80.0,80.0,80.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C037,five_method_consensus,5,"AVMD,IOVMD,STVMD,SVMD,VMD",SVMD,IMF9,stable_10deg,96.0,98.995,97.0,4.894825336323176,rms_nm,80.04607093184978,80.0,80.0,80.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C037,five_method_consensus,5,"AVMD,IOVMD,STVMD,SVMD,VMD",VMD,IMF9,stable_10deg,95.5,98.995,97.0,4.762677070349974,rms_nm,80.04607093184978,80.0,80.0,80.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
