method,mode,peak_frequency_hz,angle_component_correlation,stable_10deg_rms_nm,stable_43deg_rms_nm,state_ratio_43_to_10,state_contrast_ratio,mean_corrected_response_ratio,minimum_corrected_response_ratio,maximum_corrected_response_ratio,corrected_response_cv,enhanced_event_count,event_count,mean_10_to_43_response,mean_43_to_10_response,role_after_state_correction
VMD,IMF1,0.008692628650904,0.9820161311313202,0.1196494562555533,0.1287868490393935,1.0763680259801942,1.0763680259801942,0.5011614691203458,0.4578919652550821,0.542257132626769,0.061633695921803934,0,4,0.4856928435179033,0.5166300947227883,angle_position_mode
VMD,IMF2,16.18567454798331,5.006728544959534e-05,0.0456899671684999,0.0334414165795057,0.7319203460176978,1.36626889174607,0.9078911466940423,0.6846912736198023,1.1371755743551162,0.17704396527978972,1,4,1.0318348709915444,0.7839474223965402,angle_state_sensitive_mode
VMD,IMF3,17.793810848400554,2.808579914677488e-05,0.0310641052542251,0.0780359762163762,2.5120947658958355,2.5120947658958355,0.8264844864595432,0.4894079024680284,1.0303430190387144,0.24579460257883023,0,4,0.8930935121657151,0.7598754607533714,angle_state_sensitive_mode
VMD,IMF4,35.626738525730175,2.1313768682289327e-05,0.019557942148441,0.0186150622700919,0.951790435251683,1.0506514490614405,1.1838823517196169,1.1255461560904931,1.2349266767769345,0.04323881444391419,4,4,1.1802364164337138,1.18752828700552,angle_movement_response_candidate
VMD,IMF5,39.90785813630041,1.503265000583642e-05,0.0192598655365442,0.0231059780379531,1.1996957088880595,1.1996957088880595,1.0219445289704598,0.8582008098415507,1.2091709492330973,0.12211427968348455,1,4,1.0102031784035956,1.033685879537324,background_dynamic_mode
VMD,IMF6,54.08118915159944,1.0893612346585682e-05,0.0141933871641595,0.0182412710740829,1.2851950604253883,1.2851950604253883,1.0355225004879798,0.9464619664390591,1.1352949453354566,0.06882354870391053,2,4,1.0999535836195504,0.9710914173564089,background_dynamic_mode
VMD,IMF7,59.97479137691238,8.436127623341867e-06,0.0141899686572702,0.0208143226040339,1.466833585525203,1.466833585525203,0.7552324216358759,0.5912159041461236,0.9370863056411908,0.17542501136097646,0,4,0.8062043932868337,0.7042604499849182,angle_state_sensitive_mode
VMD,IMF8,72.63125869262865,6.988268839046334e-06,0.0128567749116227,0.0149623541435186,1.1637719604153938,1.1637719604153938,1.1516068893651545,0.9675898736533007,1.3421130368438987,0.11571993638866881,3,4,1.2348626268318115,1.0683511518984974,angle_movement_response_candidate
VMD,IMF9,80.04607093184978,1.887197305164716e-06,0.0419465326010467,0.0436323761690223,1.0401902961565297,1.0401902961565297,1.008972744459905,0.781180915020199,1.1681081103364508,0.14322151180251472,2,4,1.1279491905728334,0.8899962983469765,background_dynamic_mode
VMD,IMF10,90.29468011126563,3.0834818772684e-06,0.0237300851893002,0.0159697499132804,0.6729748244005924,1.4859396871059531,0.979581728194588,0.8917856844141833,1.1535853043881668,0.10427990539463168,1,4,0.911958269977597,1.0472051864115792,angle_state_sensitive_mode
IOVMD,IMF1,0.008692628650904,0.988657405852632,0.1189497692227545,0.1280180271016487,1.0762360275110099,1.0762360275110099,0.49391661027835276,0.4516192946217761,0.5337028714054219,0.06086011509058215,0,4,0.4788639121988199,0.5089693083578857,angle_position_mode
IOVMD,IMF2,5.4242002781641165,0.0001571180525806,0.0186494705606584,0.0213399634955963,1.1442664512210643,1.1442664512210643,0.8104017325274117,0.756820391007076,0.9116086378001655,0.07364657699571359,0,4,0.8493479653424167,0.7714554997124065,background_dynamic_mode
IOVMD,IMF3,15.946627260083448,9.452407270922484e-06,0.0415001745033081,0.0268912247778322,0.6479785952632229,1.5432608535375747,0.8716540193289821,0.570128358507822,1.3865127594810636,0.3592099057964911,1,4,1.034837682228134,0.70847035642983,angle_state_sensitive_mode
IOVMD,IMF4,17.793810848400554,4.686909136881769e-06,0.0280824057140984,0.0792585244661341,2.8223552238739793,2.8223552238739793,0.806369501775374,0.4042577946471953,1.1035578912810886,0.3573468075862585,2,4,0.8833357641958506,0.7294032393548973,angle_state_sensitive_mode
IOVMD,IMF5,20.07127955493741,6.6603744916141e-06,0.0286520857370983,0.0312989924215435,1.0923809424811968,1.0923809424811968,1.015714755174325,0.9298699770722983,1.1328775163356193,0.07347976517569756,1,4,1.0571501433966635,0.9742793669519867,background_dynamic_mode
IOVMD,IMF6,35.626738525730175,3.3043375319562538e-06,0.0197419702931591,0.0189370634134504,0.9592286449753391,1.042504313479618,1.2031263564827663,1.1491104347685055,1.2485462266313914,0.03454000026609864,4,4,1.1936377085888754,1.2126150043766573,angle_movement_response_candidate
IOVMD,IMF7,39.90785813630041,2.362752441368531e-06,0.0191129284557132,0.0227419326166235,1.1898716970201144,1.1898716970201144,1.0259953883158506,0.8549974080039493,1.2197603936219195,0.12620989016450374,1,4,1.0146118758187663,1.0373789008129344,background_dynamic_mode
IOVMD,IMF8,59.97479137691238,1.3516202346737093e-06,0.0150945024167341,0.022271799543566,1.4754908064326115,1.4754908064326115,0.9626040528294908,0.8391182115722745,1.1398989392949492,0.11583950453890568,1,4,1.0519670772152163,0.8732410284437653,angle_state_sensitive_mode
IOVMD,IMF9,72.63125869262865,1.1095291310659104e-06,0.0129517751006781,0.0151330071665264,1.168411823776503,1.168411823776503,1.1300759471255766,0.9365140810105623,1.310922963318953,0.11748995331610217,3,4,1.2179603372376147,1.0421915570135385,angle_movement_response_candidate
IOVMD,IMF10,80.04607093184978,2.978235985259293e-07,0.0419712406470036,0.0436898933090676,1.0409483407106932,1.0409483407106932,1.0087923909172773,0.7810256684287983,1.1677963203628339,0.14319233621503946,2,4,1.1276792741344146,0.8899055077001401,background_dynamic_mode
IOVMD,IMF11,90.29468011126563,4.88120017418575e-07,0.023749261867328,0.0159987310828649,0.6736517190403484,1.4844465941904692,0.9792057357186831,0.8915006188916008,1.1528486881128637,0.1041052418865656,1,4,0.9119096644754665,1.0465018069618996,angle_state_sensitive_mode
AVMD,IMF1,0.008692628650904,0.9716308599007928,0.1207831398986144,0.1301114928063168,1.0772322438010191,1.0772322438010191,0.5103849336815037,0.4657656329881366,0.552224731361131,0.06214943568401102,0,4,0.49467941591256703,0.5260904514504405,angle_position_mode
AVMD,IMF2,17.793810848400554,0.0001195836564897,0.0616856622167334,0.0936283411374268,1.5178298776863637,1.5178298776863637,0.8734780460443187,0.6390473356676774,1.0403837873240225,0.17131319397076183,0,4,0.9974537663997628,0.7495023256888745,angle_state_sensitive_mode
AVMD,IMF3,39.90785813630041,6.655638119151827e-05,0.0275521930904125,0.0323351376156094,1.1735957827205141,1.1735957827205141,1.0782385167475812,0.9948410029639999,1.1431876853579201,0.050941442858001,3,4,1.0874626893342025,1.06901434416096,angle_movement_response_candidate
AVMD,IMF4,54.08118915159944,5.476461358346459e-05,0.0163263809461203,0.02088560345051,1.2792549383378882,1.2792549383378882,0.9991727403025856,0.8851993842996235,1.14845515969565,0.09718219566329217,1,4,1.0800553073389505,0.918290173266221,background_dynamic_mode
AVMD,IMF5,59.97479137691238,3.895018252667401e-05,0.0161889900253833,0.0231842564766222,1.4321002385121475,1.4321002385121475,0.8239447394113183,0.666592876299602,1.0093241350029254,0.14919391080647393,0,4,0.8988640861640195,0.7490253926586172,angle_state_sensitive_mode
AVMD,IMF6,80.04607093184978,1.0018147411409468e-05,0.0429938742787712,0.0457015338960748,1.0629778000407035,1.0629778000407035,1.0084609366744097,0.7869518602952724,1.1618969529604328,0.1388084410454318,2,4,1.1229787693821685,0.8939431039666508,background_dynamic_mode
AVMD,IMF7,90.29468011126563,1.4905458460912695e-05,0.0252127400957235,0.0198808562079998,0.7885242196016579,1.268191864170227,0.9585903598612129,0.8955530827219322,1.1001782508706077,0.08707562732213331,1,4,0.9193150529261556,0.99786566679627,background_dynamic_mode
SVMD,IMF1,0.008692628650904,0.9721085660487244,0.1207924201207428,0.1300279293608801,1.0764576885776904,1.0764576885776904,0.5109631098249603,0.46628068389754146,0.5534155870864563,0.062200886553544624,0,4,0.4946481005235135,0.5272781191264071,angle_position_mode
SVMD,IMF2,8.344923504867872,1.2095701357316493e-06,0.0109862708606717,0.0137524920308189,1.2517889104709432,1.2517889104709432,0.8875390504570624,0.7859320763684992,1.1218567232583427,0.15341896954493195,1,4,0.953894399813421,0.8211837011007039,background_dynamic_mode
SVMD,IMF3,17.793810848400554,3.488876241866575e-07,0.0619364421841825,0.0925712970599426,1.4946176079126436,1.4946176079126436,0.8763060033872707,0.6460806981349942,1.0327912289063854,0.16883246223722798,0,4,1.0032850214603946,0.7493269853141469,angle_state_sensitive_mode
SVMD,IMF4,29.263734353268426,1.6516181330525743e-06,0.0099350752860595,0.0141120950798963,1.4204316196473947,1.4204316196473947,0.9081213033146263,0.7578827172416637,1.0604653320953583,0.12187536031248516,1,4,1.0038155918171106,0.812427014812142,angle_state_sensitive_mode
SVMD,IMF5,39.90785813630041,6.372187878345018e-07,0.0283464726674278,0.0325869674658132,1.1495951488616092,1.1495951488616092,1.082012032690448,0.9862012013236651,1.1763644814535115,0.06401205734125018,3,4,1.0827412239923082,1.0812828413885882,angle_movement_response_candidate
SVMD,IMF6,46.31867176634214,1.923490209737441e-06,0.0085054526937668,0.0111080388920894,1.305990320800902,1.305990320800902,0.9409769007910849,0.8429231333496066,1.2227711647846176,0.17296232676649154,1,4,1.032847149067112,0.8491066525150577,angle_state_sensitive_mode
SVMD,IMF7,59.97479137691238,6.944389073237613e-07,0.0201551499418093,0.0287674177032384,1.4272986202679665,1.4272986202679665,0.9346865377807589,0.820299115309636,1.0896792527790928,0.1041979649163902,1,4,1.0031228228042408,0.8662502527572772,angle_state_sensitive_mode
SVMD,IMF8,72.63125869262865,9.470355385417922e-07,0.0114992714960279,0.0142194798029322,1.2365548380907365,1.2365548380907365,1.0432143375055194,0.9093636653091113,1.1379376328597364,0.08712023289402364,2,4,1.1263058718268981,0.9601228031841407,background_dynamic_mode
SVMD,IMF9,80.04607093184978,1.8245020700848185e-07,0.0429158738854096,0.0458425134405143,1.0681948027650368,1.0681948027650368,1.0024977453226034,0.773995831337042,1.1542610126869928,0.14254445104420327,2,4,1.118458349401016,0.8865371412441907,background_dynamic_mode
SVMD,IMF10,90.29468011126563,2.39657932998283e-07,0.0225747067276741,0.0172693972571686,0.7649887755130047,1.3072087225454985,0.9585133085286053,0.8808619282008384,1.1097792562161175,0.09386260854911554,1,4,0.9110095273468044,1.0060170897104062,angle_state_sensitive_mode
STVMD,IMF1,0.008692628650904,0.996754723338658,0.1178887349754813,0.1272335365806405,1.0792679776155265,1.0792679776155265,0.48260554334914524,0.43922859086964294,0.525744964546271,0.06439026366623139,0,4,0.46485022441636337,0.5003608622819271,angle_position_mode
STVMD,IMF2,2.1905424200278163,0.0010271718489207,0.0256210138139923,0.0271593956696225,1.0600437541932883,1.0600437541932883,0.9327188365457506,0.8546529749724469,1.0218029622508953,0.06385186216273947,0,4,0.938227968611671,0.9272097044798302,background_dynamic_mode
STVMD,IMF3,17.793810848400554,1.378343475374084e-05,0.0527792291256823,0.0846266894987788,1.603408971685787,1.603408971685787,0.8142004790665114,0.5392881387716053,1.041294604738619,0.22574983013630828,0,4,0.968955719185107,0.6594452389479157,angle_state_sensitive_mode
STVMD,IMF4,20.07127955493741,5.619024903488216e-06,0.0303973464115183,0.0314822637256707,1.035691184995717,1.035691184995717,1.0289116720674436,0.9671403014281355,1.1703160240471953,0.08007487645445857,1,4,1.0750845491438787,0.9827387949910082,background_dynamic_mode
STVMD,IMF5,39.90785813630041,3.857018395015094e-06,0.0238498557677467,0.0280956882219952,1.1780234017176048,1.1780234017176048,1.0622111759563517,1.0119479865915195,1.118070753588011,0.03785962889964853,2,4,1.0594129818229383,1.0650093700897654,background_dynamic_mode
STVMD,IMF6,59.97479137691238,-3.857137344894791e-06,0.0158974342824622,0.0230616951058379,1.4506551620898473,1.4506551620898473,1.016255490656105,0.9082613144518872,1.185216905311697,0.11174149863541792,2,4,1.119976980462512,0.9125340008496983,angle_state_sensitive_mode
STVMD,IMF7,59.94871349095966,-3.242577649620499e-06,0.013275501602588,0.015042929428111,1.1331345419881118,1.1331345419881118,1.0761720609318457,1.016042761988076,1.1716627970659292,0.05371371371034817,3,4,1.0584913423366886,1.0938527795270025,angle_movement_response_candidate
STVMD,IMF8,80.04607093184978,-1.5253399953037638e-06,0.0419987080861872,0.0435921376810575,1.0379399669056573,1.0379399669056573,1.0084246990610564,0.7816077321005848,1.1651957530481776,0.14249891120063451,2,4,1.1270202182690299,0.8898291798530826,background_dynamic_mode
STVMD,IMF9,90.49461057023645,1.1899810170293814e-05,0.0232256211442194,0.0144052993668023,0.6202331157196035,1.6122970132605472,0.9781973817863445,0.8796617949574175,1.1701190944692774,0.11532856047162615,1,4,0.9063239188924992,1.0500708446801896,angle_state_sensitive_mode
STVMD,IMF10,97.83988178025034,-7.102559094603769e-06,0.0082045175783297,0.0123202392235984,1.5016409077042396,1.5016409077042396,0.9013245099540801,0.6584730959702958,1.1191067813629714,0.18252926741474546,1,4,1.0303783722758018,0.7722706476323582,angle_state_sensitive_mode
