consensus_cluster_id,angle_state_label,consensus_level,method_count,supporting_methods,member_event_count,cluster_start_time_s,cluster_end_time_s,representative_time_s,representative_frequency_hz,frequency_low_hz,frequency_high_hz,maximum_anomaly_score,interpretation
C001,stable_10deg,single_method_only,1,STVMD,1,0.0,30.995,19.5,60.0,60.0,60.0,18.21125050586807,single_method_candidate_requires_review
C002,stable_10deg,single_method_only,1,STVMD,1,0.0,2.995,1.0,91.5,91.5,91.5,4.046944556859572,single_method_candidate_requires_review
C003,stable_10deg,single_method_only,1,SVMD,1,3.5,6.495,5.0,35.0,35.0,35.0,6.070416835289357,single_method_candidate_requires_review
C004,stable_10deg,single_method_only,1,SVMD,1,5.0,7.995,7.0,67.0,67.0,67.0,7.4193983542425475,single_method_candidate_requires_review
C005,stable_10deg,single_method_only,1,SVMD,1,10.0,12.495,11.0,66.25,66.25,66.25,8.093889113719143,single_method_candidate_requires_review
C006,stable_10deg,single_method_only,1,SVMD,1,13.5,16.495,14.5,35.5,35.5,35.5,5.395926075812762,single_method_candidate_requires_review
C007,stable_10deg,single_method_only,1,SVMD,1,15.5,18.995,17.0,66.5,66.5,66.5,8.093889113719143,single_method_candidate_requires_review
C008,stable_10deg,two_method_consensus,2,"AVMD,STVMD",2,18.0,20.495,19.0,48.5,48.5,48.5,6.7449075947659525,cross_method_anomaly_candidate
C009,stable_10deg,single_method_only,1,SVMD,1,19.0,21.995,20.5,35.5,35.5,35.5,5.395926075812762,single_method_candidate_requires_review
C011,stable_10deg,two_method_consensus,2,"IOVMD,VMD",3,19.5,23.495,21.0,17.5,17.0,17.5,6.508335755267509,cross_method_anomaly_candidate
C010,stable_10deg,single_method_only,1,SVMD,1,19.5,21.995,21.0,68.75,68.75,68.75,4.721435316336167,single_method_candidate_requires_review
C012,stable_10deg,single_method_only,1,SVMD,1,21.0,23.995,22.0,66.5,66.5,66.5,7.4193983542425475,single_method_candidate_requires_review
C013,stable_10deg,single_method_only,1,SVMD,1,24.5,26.995,25.5,67.75,67.75,67.75,6.070416835289357,single_method_candidate_requires_review
C014,stable_10deg,single_method_only,1,SVMD,1,26.0,28.495,27.5,67.25,67.25,67.25,6.7449075947659525,single_method_candidate_requires_review
C015,stable_43deg,single_method_only,1,STVMD,1,39.0,41.495,40.0,54.5,54.5,54.5,6.7449075947659525,single_method_candidate_requires_review
C016,stable_43deg,single_method_only,1,STVMD,1,41.5,45.495,42.5,54.0,54.0,54.0,7.4193983542425475,single_method_candidate_requires_review
C017,stable_43deg,single_method_only,1,VMD,1,44.5,46.995,45.5,20.0,20.0,20.0,4.060318187993844,single_method_candidate_requires_review
C018,stable_43deg,single_method_only,1,STVMD,1,45.0,50.995,47.0,55.5,55.5,55.5,7.4193983542425475,single_method_candidate_requires_review
C019,stable_43deg,single_method_only,1,AVMD,1,48.0,50.495,49.0,49.75,49.75,49.75,7.4193983542425475,single_method_candidate_requires_review
C020,stable_43deg,single_method_only,1,STVMD,1,50.5,52.995,51.5,55.25,55.25,55.25,6.070416835289357,single_method_candidate_requires_review
