method,mode,angle_state_label,physical_role_candidate,event_start_time_s,event_end_time_s,event_duration_s,peak_time_s,candidate_window_count,peak_anomaly_score,mean_anomaly_score,dominant_deviation_feature,global_peak_frequency_hz,representative_local_frequency_hz,local_frequency_low_hz,local_frequency_high_hz,interpretation,source_event_index,comparison_frequency_hz,consensus_cluster_id,consensus_level,method_count,supporting_methods
STVMD,IMF7,stable_10deg,background_dynamic_mode,0.0,30.995,30.995,19.5,59,18.21125050586807,16.222074367750654,local_peak_frequency_hz,59.94871349095966,60.0,58.5,61.5,anomaly_candidate_not_confirmed_fault,0,60.0,C001,single_method_only,1,STVMD
STVMD,IMF10,stable_10deg,background_dynamic_mode,0.0,2.995,2.995,1.0,3,4.046944556859572,3.9345294302801386,local_peak_frequency_hz,97.83988178025034,91.5,91.5,92.0,anomaly_candidate_not_confirmed_fault,1,91.5,C002,single_method_only,1,STVMD
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,3.5,6.495,2.995,5.0,3,6.070416835289357,5.845586582130491,local_peak_frequency_hz,39.90785813630041,35.0,35.0,35.5,anomaly_candidate_not_confirmed_fault,2,35.0,C003,single_method_only,1,SVMD
SVMD,IMF8,stable_10deg,background_dynamic_mode,5.0,7.995,2.995,7.0,3,7.4193983542425475,6.969737847924818,local_peak_frequency_hz,72.63125869262865,67.0,66.5,67.0,anomaly_candidate_not_confirmed_fault,3,67.0,C004,single_method_only,1,SVMD
SVMD,IMF8,stable_10deg,background_dynamic_mode,10.0,12.495,2.494999999999999,11.0,2,8.093889113719143,7.756643733980845,local_peak_frequency_hz,72.63125869262865,66.25,66.0,66.5,anomaly_candidate_not_confirmed_fault,4,66.25,C005,single_method_only,1,SVMD
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,13.5,16.495,2.995000000000001,14.5,3,5.395926075812762,5.171095822653896,local_peak_frequency_hz,39.90785813630041,35.5,35.5,36.0,anomaly_candidate_not_confirmed_fault,5,35.5,C006,single_method_only,1,SVMD
SVMD,IMF8,stable_10deg,background_dynamic_mode,15.5,18.995,3.495000000000001,17.0,4,8.093889113719143,6.744907594765952,local_peak_frequency_hz,72.63125869262865,66.5,66.0,69.0,anomaly_candidate_not_confirmed_fault,6,66.5,C007,single_method_only,1,SVMD
AVMD,IMF4,stable_10deg,background_dynamic_mode,18.0,20.495,2.495000000000001,19.0,2,6.7449075947659525,6.7449075947659525,local_peak_frequency_hz,54.08118915159944,48.5,48.5,48.5,anomaly_candidate_not_confirmed_fault,7,48.5,C008,two_method_consensus,2,"AVMD,STVMD"
STVMD,IMF6,stable_10deg,background_dynamic_mode,18.0,20.495,2.495000000000001,19.0,2,3.7096991771212737,3.7096991771212737,local_peak_frequency_hz,59.97479137691238,48.5,48.5,48.5,anomaly_candidate_not_confirmed_fault,8,48.5,C008,two_method_consensus,2,"AVMD,STVMD"
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,19.0,21.995,2.995000000000001,20.5,3,5.395926075812762,5.171095822653897,local_peak_frequency_hz,39.90785813630041,35.5,35.5,36.0,anomaly_candidate_not_confirmed_fault,9,35.5,C009,single_method_only,1,SVMD
SVMD,IMF8,stable_10deg,background_dynamic_mode,19.5,21.995,2.495000000000001,21.0,2,4.721435316336167,4.384189936597869,local_peak_frequency_hz,72.63125869262865,68.75,68.5,69.0,anomaly_candidate_not_confirmed_fault,10,68.75,C010,single_method_only,1,SVMD
VMD,IMF2,stable_10deg,background_dynamic_mode,19.5,22.995,3.495000000000001,21.0,4,3.707544777800472,3.620955758041679,envelope_mean_nm,16.18567454798331,17.0,15.5,17.5,anomaly_candidate_not_confirmed_fault,11,17.0,C011,two_method_consensus,2,"IOVMD,VMD"
VMD,IMF3,stable_10deg,background_dynamic_mode,19.5,23.495,3.995000000000001,21.0,5,6.508335755267509,5.108815115849173,envelope_mean_nm,17.793810848400554,17.5,17.0,17.5,anomaly_candidate_not_confirmed_fault,12,17.5,C011,two_method_consensus,2,"IOVMD,VMD"
IOVMD,IMF4,stable_10deg,background_dynamic_mode,20.0,22.495,2.495000000000001,21.5,2,4.363824238858523,4.35358012763982,envelope_mean_nm,17.793810848400554,17.5,17.5,17.5,anomaly_candidate_not_confirmed_fault,13,17.5,C011,two_method_consensus,2,"IOVMD,VMD"
SVMD,IMF8,stable_10deg,background_dynamic_mode,21.0,23.995,2.995000000000001,22.0,3,7.4193983542425475,6.295247088448222,local_peak_frequency_hz,72.63125869262865,66.5,66.5,69.0,anomaly_candidate_not_confirmed_fault,14,66.5,C012,single_method_only,1,SVMD
SVMD,IMF8,stable_10deg,background_dynamic_mode,24.5,26.995,2.495000000000001,25.5,2,6.070416835289357,5.733171455551059,local_peak_frequency_hz,72.63125869262865,67.75,67.5,68.0,anomaly_candidate_not_confirmed_fault,15,67.75,C013,single_method_only,1,SVMD
SVMD,IMF8,stable_10deg,background_dynamic_mode,26.0,28.495,2.495000000000001,27.5,2,6.7449075947659525,6.407662215027655,local_peak_frequency_hz,72.63125869262865,67.25,67.0,67.5,anomaly_candidate_not_confirmed_fault,16,67.25,C014,single_method_only,1,SVMD
STVMD,IMF6,stable_43deg,background_dynamic_mode,39.0,41.495,2.494999999999997,40.0,2,6.7449075947659525,6.7449075947659525,local_peak_frequency_hz,59.97479137691238,54.5,54.5,54.5,anomaly_candidate_not_confirmed_fault,17,54.5,C015,single_method_only,1,STVMD
