left_event_index,right_event_index,left_method,right_method,angle_state_label,time_gap_s,frequency_gap_hz,frequency_tolerance_hz
7,8,AVMD,STVMD,stable_10deg,0.0,0.0,2.4250000000000003
11,13,VMD,IOVMD,stable_10deg,0.0,0.5,1.0
12,13,VMD,IOVMD,stable_10deg,0.0,0.0,1.0
28,37,IOVMD,AVMD,stable_43deg,0.0,0.0,1.0
28,38,IOVMD,STVMD,stable_43deg,0.0,0.0,1.0
28,39,IOVMD,SVMD,stable_43deg,0.0,0.0,1.0
29,30,AVMD,SVMD,stable_43deg,0.0,0.0,4.800000000000001
32,34,AVMD,SVMD,stable_43deg,0.0,0.0,4.45
33,35,IOVMD,VMD,stable_43deg,0.0,0.0,1.8
37,38,AVMD,STVMD,stable_43deg,0.0,0.0,1.0
37,39,AVMD,SVMD,stable_43deg,0.0,0.0,1.0
38,39,STVMD,SVMD,stable_43deg,0.0,0.0,1.0
43,44,IOVMD,STVMD,stable_10deg,0.0,0.0,1.0
45,52,STVMD,SVMD,stable_10deg,0.0,0.25,1.7437500000000001
45,53,STVMD,SVMD,stable_10deg,0.0,0.5,1.7625000000000002
46,47,IOVMD,STVMD,stable_10deg,0.0,0.0,4.0
46,48,IOVMD,VMD,stable_10deg,0.0,0.0,4.0
46,49,IOVMD,AVMD,stable_10deg,0.0,0.0,4.0
46,50,IOVMD,SVMD,stable_10deg,0.0,0.0,4.0
47,48,STVMD,VMD,stable_10deg,0.0,0.0,4.0
47,49,STVMD,AVMD,stable_10deg,0.0,0.0,4.0
47,50,STVMD,SVMD,stable_10deg,0.0,0.0,4.0
48,49,VMD,AVMD,stable_10deg,0.0,0.0,4.0
48,50,VMD,SVMD,stable_10deg,0.0,0.0,4.0
49,50,AVMD,SVMD,stable_10deg,0.0,0.0,4.0
54,60,VMD,IOVMD,stable_10deg,0.5049999999999955,0.0,1.0
55,56,STVMD,SVMD,stable_10deg,0.0,0.0,1.8250000000000002
58,60,VMD,IOVMD,stable_10deg,0.0,0.75,1.0
59,60,VMD,IOVMD,stable_10deg,0.0,0.0,1.0
72,73,IOVMD,VMD,stable_43deg,0.0,0.0,1.625
76,77,STVMD,SVMD,stable_10deg,0.0,0.0,1.75
76,82,STVMD,SVMD,stable_10deg,0.0,1.0,1.7750000000000001
76,87,STVMD,SVMD,stable_10deg,0.0,0.5,1.7625000000000002
76,89,STVMD,SVMD,stable_10deg,0.0,0.0,1.75
76,91,STVMD,SVMD,stable_10deg,0.0,0.0,1.75
76,93,STVMD,SVMD,stable_10deg,0.0,0.0,1.75
84,85,IOVMD,STVMD,stable_10deg,0.0,0.0,3.45
84,86,IOVMD,SVMD,stable_10deg,0.0,0.0,3.45
85,86,STVMD,SVMD,stable_10deg,0.0,0.0,3.45
92,95,STVMD,AVMD,stable_10deg,0.0,0.0,3.0
92,96,STVMD,VMD,stable_10deg,0.0,0.0,3.0
95,96,AVMD,VMD,stable_10deg,0.0,0.0,3.0
98,99,IOVMD,VMD,stable_10deg,0.0,0.0,1.925
