mode,event_id,direction,start_time_s,end_time_s,duration_s,event_rms_nm,event_energy_nm2
IMF1,1,10_to_43,31.015,37.76,6.744999999999997,0.06180911834267271,5.157495598903003
IMF1,2,43_to_10,87.79,94.25,6.459999999999994,0.07098997948680519,6.51617330348537
IMF1,3,10_to_43,131.24,137.695,6.454999999999984,0.06765281385870436,5.913358964116648
IMF1,4,43_to_10,183.66,196.315,12.655,0.06438647285080829,10.496704487777052
IMF2,1,10_to_43,31.015,37.76,6.744999999999997,0.06099907660956683,5.0231979187467335
IMF2,2,43_to_10,87.79,94.25,6.459999999999994,0.050885017471296375,3.347945508948999
IMF2,3,10_to_43,131.24,137.695,6.454999999999984,0.06347273209287008,5.205193733378572
IMF2,4,43_to_10,183.66,196.315,12.655,0.05273070546740483,7.040295121296381
IMF3,1,10_to_43,31.015,37.76,6.744999999999997,0.031524112117728216,1.3415890204949834
IMF3,2,43_to_10,87.79,94.25,6.459999999999994,0.03343425654091433,1.445379417003669
IMF3,3,10_to_43,131.24,137.695,6.454999999999984,0.031339507383734984,1.2689568221872922
IMF3,4,43_to_10,183.66,196.315,12.655,0.03455270064429934,3.022927256434477
IMF4,1,10_to_43,31.015,37.76,6.744999999999997,0.016887352688317245,0.38499661910648114
IMF4,2,43_to_10,87.79,94.25,6.459999999999994,0.01778838450463719,0.40913962390726777
IMF4,3,10_to_43,131.24,137.695,6.454999999999984,0.018911878442874626,0.4620956169395812
IMF4,4,43_to_10,183.66,196.315,12.655,0.019572899156934984,0.9700051017239071
IMF5,1,10_to_43,31.015,37.76,6.744999999999997,0.014008686749175145,0.2649284609892956
IMF5,2,43_to_10,87.79,94.25,6.459999999999994,0.013415323570075802,0.232702382091352
IMF5,3,10_to_43,131.24,137.695,6.454999999999984,0.016970754508823908,0.37210440910960696
IMF5,4,43_to_10,183.66,196.315,12.655,0.014160915774053314,0.5077458480374946
IMF6,1,10_to_43,31.015,37.76,6.744999999999997,0.04975731964744184,3.3423176589718966
IMF6,2,43_to_10,87.79,94.25,6.459999999999994,0.03910288870328767,1.9770434250896214
IMF6,3,10_to_43,131.24,137.695,6.454999999999984,0.04718933848941646,2.8770690978527886
IMF6,4,43_to_10,183.66,196.315,12.655,0.03650259207875942,3.3737361264817616
IMF7,1,10_to_43,31.015,37.76,6.744999999999997,0.021436444674602238,0.6203535663878316
IMF7,2,43_to_10,87.79,94.25,6.459999999999994,0.019302537967817,0.48175624779472886
IMF7,3,10_to_43,131.24,137.695,6.454999999999984,0.020988017192834472,0.5691219504672363
IMF7,4,43_to_10,183.66,196.315,12.655,0.021596863621061765,1.1809868802513885
