mode,algorithm_center_frequency_hz,spectral_centroid_hz,peak_frequency_hz,energy_nm2,energy_ratio,rms_nm,standard_deviation_nm,stable_rms_nm,stable_10deg_rms_nm,stable_43deg_rms_nm,mean_transition_rms_nm,transition_rms_std_nm,transition_to_stable_rms_ratio,transition_response_cv,motion_sensitivity_rank,motion_sensitive_candidate,nearest_welch_peak_hz,welch_frequency_difference_hz,nearest_welch_psd_nm2_per_hz,welch_psd_supported,angle_component_correlation,physical_role_candidate
IMF6,,35.358510563712656,35.626738525730175,18.317134336105838,0.017436919259586178,0.019951443978600374,0.019951443978600374,0.019355451159416677,0.019741970293159133,0.01893706341345047,0.022446382254166442,0.0028000424756102734,1.1596930533569987,0.12474359760537843,1,True,35.9375,0.3107614742698246,0.0002682518038629559,True,3.3043375319562538e-06,angle_movement_response_candidate
IMF7,,40.14563333955617,39.90785813630041,20.58295977764316,0.019593862292019166,0.021149469608216315,0.021149469608216315,0.020953086320241333,0.01911292845571324,0.022741932616623564,0.022200848645178975,0.00045362111500226696,1.059550288003731,0.020432602476246713,2,False,39.892578125,0.0152800113004119,0.0017913139993125892,True,2.362752441368531e-06,background_dynamic_mode
IMF9,,71.73684691986591,72.63125869262865,9.288184441414645,0.008841848249911525,0.014207281424530347,0.014207281424530347,0.01405288843603222,0.012951775100678128,0.015133007166526446,0.014784177310203109,0.0013754055894400529,1.0520383320126272,0.09303227095976546,3,False,80.078125,7.4468663073713515,0.015522270687678056,False,1.1095291310659104e-06,background_dynamic_mode
IMF10,,80.061290273133,80.04607093184978,83.37402341348927,0.07936755214718429,0.042565814471980934,0.042565814471980934,0.042814088302031914,0.04197124064700366,0.043689893309067696,0.041840312575653786,0.00656782710453833,0.9772557173351715,0.15697366248549516,4,False,80.078125,0.03205406815021661,0.015522270687678056,True,2.978235985259293e-07,background_dynamic_mode
IMF5,,20.354213422099484,20.071279554937412,40.65010503794099,0.03869669711615849,0.02972188872342504,0.02972188872342504,0.029966103061962186,0.028652085737098303,0.0312989924215435,0.028377744477143446,0.0011084876656893383,0.946994823399805,0.03906186647716661,5,False,20.068359375,0.002920179937412115,0.006101068512470533,True,6.6603744916141e-06,background_dynamic_mode
IMF11,,90.92518425291249,90.29468011126565,18.801165827107614,0.017897691008748846,0.02021333425854784,0.02021333425854784,0.020359073411478436,0.023749261867328026,0.015998731082864957,0.01907564866394062,0.0010278765335488681,0.9369605521037891,0.05388422441916159,6,False,90.478515625,0.18383551373435125,0.00033398266966841667,True,4.88120017418575e-07,background_dynamic_mode
IMF8,,56.98892263367685,59.97479137691238,16.05915348107888,0.015287443848403118,0.01868129128693273,0.01868129128693273,0.01892147973113606,0.015094502416734134,0.02227179954356607,0.017157326989102786,0.001293859130532811,0.9067645465840344,0.0754114630649966,7,False,59.9609375,0.013853876912378382,0.001726546385654018,True,1.3516202346737093e-06,background_dynamic_mode
IMF3,,15.903008766327819,15.946627260083448,55.20942887231746,0.052556384418542657,0.03463795112357092,0.03463795112357092,0.035175141951090005,0.041500174503308195,0.026891224777832238,0.029873082963295553,0.008530539551925469,0.8492668772974109,0.28555939681239817,8,False,15.91796875,0.028658510083447553,0.0013224991107917232,True,9.452407270922484e-06,background_dynamic_mode
IMF2,,5.168640908601382,5.4242002781641165,17.491530777225368,0.01665098941201995,0.01949662673273757,0.01949662673273757,0.020000683341113958,0.018649470560658438,0.021339963495596394,0.015977078892782517,0.0012957038962824313,0.7988266510844364,0.08109767154418536,9,False,2.24609375,3.1781065281641165,0.0004409101123336271,False,0.00015711805258063023,background_dynamic_mode
IMF4,,17.738952567249658,17.793810848400554,142.67323010923653,0.135817183423464,0.05568225497778833,0.05568225497778833,0.05877970558657806,0.028082405714098438,0.07925852446613413,0.030741300828454374,0.008131794279422603,0.5229917455638604,0.26452342810085955,10,False,17.822265625,0.028454776599446063,0.013252133599626171,True,4.686909136881769e-06,background_dynamic_mode
IMF1,,0.036370109123680695,0.008692628650904033,628.0330490748568,0.597853428823962,0.11682527633289294,0.11682527633289294,0.12343471534363791,0.11894976922275455,0.12801802710164875,0.0630425928468382,0.0035301705395944624,0.5107363246338741,0.0559965950031749,11,False,2.24609375,2.237401121349096,0.0004409101123336271,False,0.988657405852632,angle_position_mode
