mode,event_id,direction,start_time_s,end_time_s,duration_s,event_rms_nm,event_energy_nm2
IMF1,1,10_to_43,31.015,37.76,6.744999999999997,0.05694691174424656,4.37798352222946
IMF1,2,43_to_10,87.79,94.25,6.459999999999994,0.06563797093181781,5.570687793863684
IMF1,3,10_to_43,131.24,137.695,6.454999999999984,0.06208714201246316,4.980418658632292
IMF1,4,43_to_10,183.66,196.315,12.655,0.05957133209052524,8.985418813024374
IMF2,1,10_to_43,31.015,37.76,6.744999999999997,0.02179724867576015,0.6414120672744523
IMF2,2,43_to_10,87.79,94.25,6.459999999999994,0.027376221668297347,0.9690485640914568
IMF2,3,10_to_43,131.24,137.695,6.454999999999984,0.02494982317330087,0.8042618298816435
IMF2,4,43_to_10,183.66,196.315,12.655,0.024135933284989915,1.4749995736609098
IMF3,1,10_to_43,31.015,37.76,6.744999999999997,0.05014535425747364,3.394651347370166
IMF3,2,43_to_10,87.79,94.25,6.459999999999994,0.0385934026213882,1.925859788584269
IMF3,3,10_to_43,131.24,137.695,6.454999999999984,0.05355414591305359,3.705516135463812
IMF3,4,43_to_10,183.66,196.315,12.655,0.04045458271944163,4.143803501926495
IMF4,1,10_to_43,31.015,37.76,6.744999999999997,0.031994459359550205,1.3819213301083781
IMF4,2,43_to_10,87.79,94.25,6.459999999999994,0.029888226181370797,1.155044741099531
IMF4,3,10_to_43,131.24,137.695,6.454999999999984,0.028864118300440677,1.0764134242382901
IMF4,4,43_to_10,183.66,196.315,12.655,0.02941078163669535,2.190165001650845
IMF5,1,10_to_43,31.015,37.76,6.744999999999997,0.027127205590991386,0.9934451322874843
IMF5,2,43_to_10,87.79,94.25,6.459999999999994,0.029830099569797784,1.1505564485648567
IMF5,3,10_to_43,131.24,137.695,6.454999999999984,0.026688101361395936,0.9202331425247775
IMF5,4,43_to_10,183.66,196.315,12.655,0.02960712106748617,2.2195046565349115
IMF6,1,10_to_43,31.015,37.76,6.744999999999997,0.017024661642066178,0.39128279043623326
IMF6,2,43_to_10,87.79,94.25,6.459999999999994,0.019028161975268878,0.46815773596708954
IMF6,3,10_to_43,131.24,137.695,6.454999999999984,0.01979649897958171,0.5063365724283649
IMF6,4,43_to_10,183.66,196.315,12.655,0.019851286844045413,0.9977943282710924
IMF7,1,10_to_43,31.015,37.76,6.744999999999997,0.013310279161441745,0.239170767329939
IMF7,2,43_to_10,87.79,94.25,6.459999999999994,0.014769932688906617,0.2820691287438381
IMF7,3,10_to_43,131.24,137.695,6.454999999999984,0.01328259800533814,0.22794421342466525
IMF7,4,43_to_10,183.66,196.315,12.655,0.0166323349606177,0.7004387217252144
IMF8,1,10_to_43,31.015,37.76,6.744999999999997,0.048722615558335666,3.2047559102412535
IMF8,2,43_to_10,87.79,94.25,6.459999999999994,0.037456285342682014,1.814044491992433
IMF8,3,10_to_43,131.24,137.695,6.454999999999984,0.046032165400268096,2.7376966448574294
IMF8,4,43_to_10,183.66,196.315,12.655,0.03504357855285261,3.109428671204157
IMF9,1,10_to_43,31.015,37.76,6.744999999999997,0.019151859943137603,0.4951715480301042
IMF9,2,43_to_10,87.79,94.25,6.459999999999994,0.01662864474205887,0.3575297909631796
IMF9,3,10_to_43,131.24,137.695,6.454999999999984,0.018091564050972925,0.42287765923510895
IMF9,4,43_to_10,183.66,196.315,12.655,0.01948409719011514,0.9612232696706751
IMF10,1,10_to_43,31.015,37.76,6.744999999999997,0.007951378795991525,0.0853529734224139
IMF10,2,43_to_10,87.79,94.25,6.459999999999994,0.006957661838112333,0.06259291232180743
IMF10,3,10_to_43,131.24,137.695,6.454999999999984,0.010397229204965193,0.13966826868163082
IMF10,4,43_to_10,183.66,196.315,12.655,0.007755974029118168,0.15231279711138013
