mode,algorithm_center_frequency_hz,spectral_centroid_hz,peak_frequency_hz,energy_nm2,energy_ratio,rms_nm,standard_deviation_nm,stable_rms_nm,stable_10deg_rms_nm,stable_43deg_rms_nm,mean_transition_rms_nm,transition_rms_std_nm,transition_to_stable_rms_ratio,transition_response_cv,motion_sensitivity_rank,motion_sensitive_candidate,nearest_welch_peak_hz,welch_frequency_difference_hz,nearest_welch_psd_nm2_per_hz,welch_psd_supported,angle_component_correlation,physical_role_candidate
IMF5,37.897214992500935,37.89727555595496,39.90785813630041,44.2346272934844,0.03959607199917624,0.031004644352637077,0.031004644352637077,0.030478573852208934,0.0283464726674278,0.03258696746581327,0.03360059505988198,0.0017790688510540074,1.102433310128339,0.0529475400028896,1,True,39.892578125,0.0152800113004119,0.0017913139993125892,True,6.372187878345018e-07,angle_movement_response_candidate
IMF9,79.99990396485869,80.00040159509462,80.04607093184978,89.23921320713362,0.07988136280329815,0.044037578881804554,0.044037578881804554,0.0443605796591459,0.042915873885409635,0.04584251344051437,0.042877412332832945,0.00650362048148822,0.9665656459471583,0.1516794071201005,2,False,80.078125,0.03205406815021661,0.015522270687678056,True,1.8245020700848182e-07,background_dynamic_mode
IMF8,69.687950343786,69.68826052200015,72.63125869262865,7.57200510900498,0.006777985434014365,0.012827765642867079,0.012827765642867079,0.01289154197447473,0.01149927149602791,0.014219479802932273,0.012321883116207482,0.000555579615484239,0.9558114258639203,0.04508885616302043,3,False,80.078125,7.4468663073713515,0.015522270687678056,False,9.470355385417922e-07,background_dynamic_mode
IMF10,91.30977064288997,91.30990732932,90.29468011126565,18.357659221324226,0.01643262847997284,0.019973502103462954,0.019973502103462954,0.02017452379422513,0.0225747067276741,0.017269397257168653,0.018524165797213846,0.0009374556900367286,0.9181959379143365,0.05060717444980528,4,False,90.478515625,0.18383551373435125,0.00033398266966841667,True,2.39657932998283e-07,background_dynamic_mode
IMF7,57.143037126065224,57.14328550500166,59.97479137691238,27.20899485956828,0.02435579059673403,0.024316542120467282,0.024316542120467282,0.02471325178683707,0.020155149941809343,0.02876741770323846,0.021630262208606105,0.0013848457109950608,0.875249537987824,0.06402352859338216,5,False,59.9609375,0.013853876912378382,0.001726546385654018,True,6.944389073237613e-07,background_dynamic_mode
IMF6,47.33521575227103,47.33889116076478,46.31867176634214,4.314558435219424,0.0038621228864918126,0.009683085028799969,0.009683085028799969,0.009854960622320198,0.008505452693766853,0.011108038892089413,0.00852435532137143,0.0011006186259330984,0.864981165126595,0.12911458807608667,6,False,39.892578125,6.426093641342142,0.0017913139993125892,False,1.923490209737441e-06,background_dynamic_mode
IMF4,27.588106990587384,27.592715246281305,29.263734353268426,6.499370533113635,0.005817830042311639,0.011884508246976924,0.011884508246976924,0.012143383176882053,0.009935075286059554,0.014112095079896378,0.010204772706810923,0.0010015718853431646,0.8403566418161009,0.0981473977048669,7,False,35.9375,6.6737656467315745,0.0002682518038629559,False,1.6516181330525743e-06,background_dynamic_mode
IMF2,8.693699297342034,8.699294354684676,8.344923504867872,6.734881557855749,0.006028644783225306,0.012097915563255316,0.012097915563255316,0.012406261550772511,0.010986270860671775,0.013752492030818988,0.009930065110529268,0.0010754724533627534,0.8004075256587483,0.10830467286889796,8,False,2.24609375,6.098829754867872,0.0004409101123336271,False,1.2095701357316493e-06,background_dynamic_mode
IMF3,17.65940356542186,17.659703684445482,17.793810848400554,263.29645040588406,0.23568651631737744,0.07564288248869686,0.07564288248869686,0.07831773315216513,0.06193644218418252,0.09257129705994266,0.05715766752953903,0.0060937128712470956,0.7298176955464999,0.10661234327131783,9,False,17.822265625,0.028454776599446063,0.013252133599626171,True,3.4888762418665743e-07,background_dynamic_mode
IMF1,0.1397972025054315,0.1400609158529874,0.008692628650904033,649.6890941059479,0.5815610466573982,0.1188224098561089,0.1188224098561089,0.12536032230221947,0.12079242012074284,0.13002792936088012,0.06630282856728716,0.004006192106150061,0.5288980384674168,0.060422642483259674,10,False,2.24609375,2.237401121349096,0.0004409101123336271,False,0.9721085660487244,angle_position_mode
