mode,event_id,direction,start_time_s,end_time_s,duration_s,event_rms_nm,event_energy_nm2
IMF1,1,10_to_43,31.015,37.76,6.744999999999997,0.06190335656755268,5.173234498344916
IMF1,2,43_to_10,87.79,94.25,6.459999999999994,0.07118624256521554,6.552253101805941
IMF1,3,10_to_43,131.24,137.695,6.454999999999984,0.06761464962212127,5.906689169830713
IMF1,4,43_to_10,183.66,196.315,12.655,0.06450706551425912,10.536060921192647
IMF2,1,10_to_43,31.015,37.76,6.744999999999997,0.008371979606351786,0.09462155741437978
IMF2,2,43_to_10,87.79,94.25,6.459999999999994,0.010290214774002243,0.1369138564829566
IMF2,3,10_to_43,131.24,137.695,6.454999999999984,0.010841330674305545,0.1518545104202127
IMF2,4,43_to_10,183.66,196.315,12.655,0.0102167353874575,0.2642944187665903
IMF3,1,10_to_43,31.015,37.76,6.744999999999997,0.06184198783972835,5.162982470958297
IMF3,2,43_to_10,87.79,94.25,6.459999999999994,0.05101589141951981,3.3651891822854076
IMF3,3,10_to_43,131.24,137.695,6.454999999999984,0.06291996525678943,5.11492726006694
IMF3,4,43_to_10,183.66,196.315,12.655,0.052852825602118535,7.072942412891987
IMF4,1,10_to_43,31.015,37.76,6.744999999999997,0.009554618020467486,0.12324247944800674
IMF4,2,43_to_10,87.79,94.25,6.459999999999994,0.009732265819028852,0.12246907837810286
IMF4,3,10_to_43,131.24,137.695,6.454999999999984,0.011697041285658061,0.1767724410911988
IMF4,4,43_to_10,183.66,196.315,12.655,0.009835165702089295,0.24492158646928575
IMF5,1,10_to_43,31.015,37.76,6.744999999999997,0.032482086892711245,1.424366058022619
IMF5,2,43_to_10,87.79,94.25,6.459999999999994,0.03429769079984756,1.5209967513031188
IMF5,3,10_to_43,131.24,137.695,6.454999999999984,0.0318530545164638,1.3108852699812292
IMF5,4,43_to_10,183.66,196.315,12.655,0.03576954803050531,3.239594153888379
IMF6,1,10_to_43,31.015,37.76,6.744999999999997,0.007749914219504525,0.08108258005306587
IMF6,2,43_to_10,87.79,94.25,6.459999999999994,0.007752585893622871,0.07771264633313442
IMF6,3,10_to_43,131.24,137.695,6.454999999999984,0.010085912711687602,0.13142952071429376
IMF6,4,43_to_10,183.66,196.315,12.655,0.008509008460670724,0.18332496565889544
IMF7,1,10_to_43,31.015,37.76,6.744999999999997,0.01981012130342634,0.5297952231762293
IMF7,2,43_to_10,87.79,94.25,6.459999999999994,0.02149197619111449,0.5972432174950657
IMF7,3,10_to_43,131.24,137.695,6.454999999999984,0.023111291864738204,0.6900983006609918
IMF7,4,43_to_10,183.66,196.315,12.655,0.022107659475145387,1.2375114741114714
IMF8,1,10_to_43,31.015,37.76,6.744999999999997,0.012448131084999772,0.20919055613760573
IMF8,2,43_to_10,87.79,94.25,6.459999999999994,0.011532391154560614,0.17196388714413177
IMF8,3,10_to_43,131.24,137.695,6.454999999999984,0.01247071599470538,0.200930234587416
IMF8,4,43_to_10,183.66,196.315,12.655,0.012836294230564156,0.4171987783203922
IMF9,1,10_to_43,31.015,37.76,6.744999999999997,0.04952457376751965,3.311122599253568
IMF9,2,43_to_10,87.79,94.25,6.459999999999994,0.03884196210340063,1.9507465399143196
IMF9,3,10_to_43,131.24,137.695,6.454999999999984,0.047184537520252263,2.876483710652121
IMF9,4,43_to_10,183.66,196.315,12.655,0.03595857594015926,3.2739245729871156
IMF10,1,10_to_43,31.015,37.76,6.744999999999997,0.019158734479102137,0.495527094234995
IMF10,2,43_to_10,87.79,94.25,6.459999999999994,0.017263428528346135,0.38534757216743654
IMF10,3,10_to_43,131.24,137.695,6.454999999999984,0.018363810501346393,0.43570056067913315
IMF10,4,43_to_10,183.66,196.315,12.655,0.01931068968006072,0.9441897273484362
