mode,algorithm_center_frequency_hz,spectral_centroid_hz,peak_frequency_hz,energy_nm2,energy_ratio,rms_nm,standard_deviation_nm,stable_rms_nm,stable_10deg_rms_nm,stable_43deg_rms_nm,mean_transition_rms_nm,transition_rms_std_nm,transition_to_stable_rms_ratio,transition_response_cv,motion_sensitivity_rank,motion_sensitive_candidate,nearest_welch_peak_hz,welch_frequency_difference_hz,nearest_welch_psd_nm2_per_hz,welch_psd_supported,angle_component_correlation,physical_role_candidate
IMF4,35.091634294248294,35.09244882693754,35.626738525730175,17.764815019202583,0.01728023178003433,0.019648342170138087,0.019648342170138087,0.019106082553371942,0.019557942148441053,0.018615062270091992,0.02182161948748714,0.0028495291266896626,1.1421294462917357,0.13058284369423628,1,True,35.9375,0.3107614742698246,0.0002682518038629559,True,2.1313768682289327e-05,angle_movement_response_candidate
IMF8,72.18709430024147,72.18768102719893,72.63125869262865,9.179331202257874,0.008928940188189887,0.01412378467381213,0.01412378467381213,0.01391865745927938,0.012856774911622794,0.014962354143518604,0.014982618444567719,0.001399718692622048,1.0764413513588391,0.09342283512062113,2,False,80.078125,7.4468663073713515,0.015522270687678056,False,6.988268839046334e-06,background_dynamic_mode
IMF5,39.95520137752178,39.95740390404541,39.90785813630041,21.094097126482964,0.020518698739174585,0.021410461989797083,0.021410461989797083,0.021214028206428228,0.01925986553654423,0.023105978037953126,0.022481454795801603,0.00043070214104912077,1.0597447395204787,0.019158108092255214,3,False,39.892578125,0.0152800113004119,0.0017913139993125892,True,1.503265000583642e-05,background_dynamic_mode
IMF6,53.66324965559285,53.665276436135414,54.08118915159944,12.36426561676739,0.012026996927167563,0.01639191641844387,0.01639191641844387,0.016284377933183665,0.014193387164159528,0.01824127107408298,0.01672044571009225,0.0011690514638509819,1.0267782889034867,0.06991748211265335,4,False,57.71484375,3.633654598400561,0.00023253338266146276,False,1.0893612346585682e-05,background_dynamic_mode
IMF9,80.06677138124685,80.06710427838345,80.04607093184978,83.22204978224755,0.08095194393481198,0.04252700243151776,0.04252700243151776,0.042773136830891435,0.04194653260104675,0.04363237616902239,0.041814119723208344,0.00657151514794353,0.9775789858135752,0.15716019352898317,5,False,80.078125,0.03205406815021661,0.015522270687678056,True,1.8871973051647161e-06,background_dynamic_mode
IMF10,90.9288164621484,90.9290218705923,90.29468011126565,18.761051158179296,0.01824929289159421,0.02019175888937524,0.02019175888937524,0.020336509375259403,0.023730085189300244,0.01596974991328041,0.019060481399926627,0.0010265279571971572,0.937254326601135,0.05385634998710457,6,False,90.478515625,0.18383551373435125,0.00033398266966841667,True,3.0834818772684e-06,background_dynamic_mode
IMF2,16.12782212533783,16.12909301605673,16.18567454798331,72.36618204453495,0.07039219926658456,0.03965641018161066,0.03965641018161066,0.04021322877030874,0.045689967168499934,0.033441416579505785,0.035685992308421906,0.006271948925561373,0.8874192249583874,0.17575380478017846,7,False,15.91796875,0.26770579798331084,0.0013224991107917232,True,5.006728544959534e-05,background_dynamic_mode
IMF7,59.95274872558139,59.95428299278174,59.97479137691238,13.288604673472737,0.012926122143272607,0.01699359480180447,0.01699359480180447,0.017717495930870988,0.014189968657270227,0.02081432260403393,0.01162879180991493,0.0012989594759982763,0.6563451096750508,0.11170201489811984,8,False,59.9609375,0.013853876912378382,0.001726546385654018,True,8.436127623341867e-06,background_dynamic_mode
IMF3,18.124325995208483,18.124359023925198,17.793810848400554,143.69364688207975,0.13977401513929208,0.055881023430142486,0.055881023430142486,0.05875768440970106,0.031064105254225198,0.07803597621637623,0.033555433938170676,0.004721673841442816,0.571081625752945,0.14071264434079298,9,False,17.822265625,0.028454776599446063,0.013252133599626171,True,2.8085799146774877e-05,background_dynamic_mode
IMF1,0.07768403149982299,0.07781207742136204,0.008692628650904033,636.3085918793386,0.6189515589898781,0.11759245614182422,0.11759245614182422,0.12416873479438158,0.11964945625555337,0.12878684903939353,0.06438010184642273,0.0037329120773247427,0.5184888285528033,0.0579823885061491,10,False,2.24609375,2.237401121349096,0.0004409101123336271,False,0.9820161311313202,angle_position_mode
