mode,event_id,direction,start_time_s,end_time_s,duration_s,event_rms_nm,event_energy_nm2
IMF1,1,10_to_43,31.015,37.76,6.744999999999997,0.06029141177674961,4.907323350945335
IMF1,2,43_to_10,87.79,94.25,6.459999999999994,0.0688326976757145,6.126156768225991
IMF1,3,10_to_43,131.24,137.695,6.454999999999984,0.06580977670360776,5.595557309034099
IMF1,4,43_to_10,183.66,196.315,12.655,0.06258652122961908,9.918027923531916
IMF2,1,10_to_43,31.015,37.76,6.744999999999997,0.04444557531031699,2.6668023722978296
IMF2,2,43_to_10,87.79,94.25,6.459999999999994,0.029893362273722614,1.155441748680233
IMF2,3,10_to_43,131.24,137.695,6.454999999999984,0.0329129872416228,1.3995780300840555
IMF2,4,43_to_10,183.66,196.315,12.655,0.03549204440802523,3.189522967573447
IMF3,1,10_to_43,31.015,37.76,6.744999999999997,0.0315747867146172,1.3459056606993154
IMF3,2,43_to_10,87.79,94.25,6.459999999999994,0.031069449913350755,1.248146758268247
IMF3,3,10_to_43,131.24,137.695,6.454999999999984,0.04062631786908924,2.132443033051562
IMF3,4,43_to_10,183.66,196.315,12.655,0.0309511812556255,2.425594272672253
IMF4,1,10_to_43,31.015,37.76,6.744999999999997,0.019747424466384066,0.5264470436249844
IMF4,2,43_to_10,87.79,94.25,6.459999999999994,0.022453797140338887,0.6518956967832016
IMF4,3,10_to_43,131.24,137.695,6.454999999999984,0.019491578506656903,0.49085874942407076
IMF4,4,43_to_10,183.66,196.315,12.655,0.025593677836568712,1.6585520260516375
IMF5,1,10_to_43,31.015,37.76,6.744999999999997,0.022714691955058094,0.6965422613277942
IMF5,2,43_to_10,87.79,94.25,6.459999999999994,0.02229818538313876,0.6428913292954042
IMF5,3,10_to_43,131.24,137.695,6.454999999999984,0.021973109067893123,0.6238002385655088
IMF5,4,43_to_10,183.66,196.315,12.655,0.02293983277711644,1.3324293692961107
IMF6,1,10_to_43,31.015,37.76,6.744999999999997,0.015397309899777162,0.32005415540219734
IMF6,2,43_to_10,87.79,94.25,6.459999999999994,0.016739431368491372,0.36230967136477976
IMF6,3,10_to_43,131.24,137.695,6.454999999999984,0.01650690212339844,0.352041340483201
IMF6,4,43_to_10,183.66,196.315,12.655,0.01823813944870202,0.8422184777533617
IMF7,1,10_to_43,31.015,37.76,6.744999999999997,0.010668669882511033,0.15365769803369728
IMF7,2,43_to_10,87.79,94.25,6.459999999999994,0.010908223431852779,0.1538532146019141
IMF7,3,10_to_43,131.24,137.695,6.454999999999984,0.013519963852879756,0.23616393397746238
IMF7,4,43_to_10,183.66,196.315,12.655,0.01141831007241615,0.3301166020317151
IMF8,1,10_to_43,31.015,37.76,6.744999999999997,0.015884584931576917,0.34063205190544854
IMF8,2,43_to_10,87.79,94.25,6.459999999999994,0.014099375680296778,0.2570385661843685
IMF8,3,10_to_43,131.24,137.695,6.454999999999984,0.013509733327113223,0.23580665978407012
IMF8,4,43_to_10,183.66,196.315,12.655,0.016436779839283964,0.6840646961202523
IMF9,1,10_to_43,31.015,37.76,6.744999999999997,0.04869897090102418,3.2016461852053797
IMF9,2,43_to_10,87.79,94.25,6.459999999999994,0.03748802662085446,1.817120316924179
IMF9,3,10_to_43,131.24,137.695,6.454999999999984,0.04601947200540896,2.7361870103243513
IMF9,4,43_to_10,183.66,196.315,12.655,0.03505000936554578,3.110569992320913
IMF10,1,10_to_43,31.015,37.76,6.744999999999997,0.01962358583911448,0.5198649135998775
IMF10,2,43_to_10,87.79,94.25,6.459999999999994,0.01775298117288379,0.4075126642985229
IMF10,3,10_to_43,131.24,137.695,6.454999999999984,0.018777861401962085,0.4555696378500364
IMF10,4,43_to_10,183.66,196.315,12.655,0.02008749718574615,1.0216810993503942
