method,mode,global_peak_frequency_hz,stable_10deg_median_rms_nm,stable_43deg_median_rms_nm,moving_median_rms_nm,stable_43_to_10_rms_ratio,moving_to_stable_rms_ratio,previous_10deg_median_rms_nm,late_10deg_median_rms_nm,late_to_previous_10deg_rms_ratio,angle_transition_sensitive,angle_state_sensitive,late_cycle_shift,behavior_candidates,interpretation_limit
STVMD,IMF2,2.1905424200278163,0.0245688471420445,0.02633219545013265,0.02438181794532715,1.0717717155344382,0.9538144579582668,0.025609874623521,0.0214111624551179,0.8360510455390109,False,False,False,relatively_stable_mode,behavioral association only; not a component or fault label
IOVMD,IMF2,5.4242002781641165,0.0171671193049666,0.0211348630467691,0.01608841190383605,1.231124609278758,0.8542884251630783,0.017137082130146274,0.016439274132198152,0.9592808161477616,False,False,False,relatively_stable_mode,behavioral association only; not a component or fault label
SVMD,IMF2,8.344923504867872,0.0108060084921006,0.01389731839883625,0.00980299780012985,1.2860732442506564,0.8458524186754801,0.010691005031826475,0.0110555184868108,1.0340953403257187,False,True,False,angle_state_sensitive,behavioral association only; not a component or fault label
IOVMD,IMF3,15.946627260083448,0.0435074651259929,0.0179258280092496,0.0275560134307936,0.4120172930631158,0.9375496562718889,0.03012492488294472,0.0514750746475042,1.708720431586753,False,True,True,"angle_state_sensitive,late_cycle_shift",behavioral association only; not a component or fault label
VMD,IMF2,16.18567454798331,0.0478931605809602,0.02602373140142225,0.03544210019199455,0.5433705164943279,0.8909716133299566,0.04126492098856642,0.0511080597135797,1.2385352616509386,False,True,False,angle_state_sensitive,behavioral association only; not a component or fault label
AVMD,IMF2,17.793810848400554,0.0618256777383735,0.09436806115485485,0.05775983546329885,1.526357083446622,0.8857279979909434,0.060812707631355725,0.06422381085349585,1.0560919478017303,False,True,False,angle_state_sensitive,behavioral association only; not a component or fault label
IOVMD,IMF4,17.793810848400554,0.0215750760100797,0.0816505548733093,0.02749452158607265,3.784485154775908,0.6607472955923677,0.030178491881709124,0.018558637930878648,0.614962404470805,True,True,True,"angle_transition_sensitive,angle_state_sensitive,late_cycle_shift",behavioral association only; not a component or fault label
STVMD,IMF3,17.793810848400554,0.0532225955578478,0.08495287755351605,0.045835966763307104,1.5961806571643082,0.8225699578978322,0.051856559058622076,0.054584284497840294,1.0526013582222913,False,True,False,angle_state_sensitive,behavioral association only; not a component or fault label
SVMD,IMF3,17.793810848400554,0.0619455207777646,0.0929526615658676,0.05796446245047905,1.5005550102539893,0.8837638171101678,0.060480714953196124,0.0646087252334828,1.0682533313880458,False,True,False,angle_state_sensitive,behavioral association only; not a component or fault label
VMD,IMF3,17.793810848400554,0.0288547189618272,0.08056596318286721,0.032156703997478345,2.7921243415834267,0.8428455807834242,0.030115029813660026,0.0287468841903758,0.9545693418950608,False,True,False,angle_state_sensitive,behavioral association only; not a component or fault label
IOVMD,IMF5,20.07127955493741,0.0281153489534141,0.0312812284952996,0.0284730568007673,1.1126032455485784,0.9590764920272103,0.0267621728891042,0.0316254013465361,1.1817202391443942,False,False,False,relatively_stable_mode,behavioral association only; not a component or fault label
STVMD,IMF4,20.07127955493741,0.0297247127843252,0.031210796415619052,0.02992678673818755,1.049994886143266,0.9764072236321155,0.028084965396778475,0.033499778495239996,1.1928011312088842,False,False,False,relatively_stable_mode,behavioral association only; not a component or fault label
SVMD,IMF4,29.263734353268426,0.0096910307443686,0.0141423992614048,0.00968973447091445,1.4593286962403396,0.8665588247074957,0.009708933855609524,0.01030127546267815,1.0610099539123086,False,True,False,angle_state_sensitive,behavioral association only; not a component or fault label
IOVMD,IMF6,35.626738525730175,0.0190749611239226,0.01801403001690715,0.022072805335214198,0.944380955739663,1.189776754391509,0.0172125119090518,0.02228953960906,1.2949614633142523,False,False,True,late_cycle_shift,behavioral association only; not a component or fault label
VMD,IMF4,35.626738525730175,0.0188858793442967,0.017776193598481,0.02145998867063345,0.9412425693511052,1.1664567415830842,0.01700633160205485,0.0218932142076891,1.287356657507695,False,False,True,late_cycle_shift,behavioral association only; not a component or fault label
AVMD,IMF3,39.90785813630041,0.0274812001739278,0.03179906922002135,0.0326912951604523,1.157120832378703,1.1235651357881458,0.026943025730662474,0.02802422036308485,1.0401289240202778,False,False,False,relatively_stable_mode,behavioral association only; not a component or fault label
IOVMD,IMF7,39.90785813630041,0.0191268736951242,0.022311239125026347,0.02226129147330765,1.1664864567340998,1.0781123736087384,0.02001757103745245,0.01602282171413955,0.8004378595265637,False,False,False,relatively_stable_mode,behavioral association only; not a component or fault label
STVMD,IMF5,39.90785813630041,0.0235540096784502,0.0275218231501419,0.02836414742495345,1.1684559667699226,1.1250544176538246,0.02289082377992865,0.0244553653511389,1.0683479802322295,False,False,False,relatively_stable_mode,behavioral association only; not a component or fault label
SVMD,IMF5,39.90785813630041,0.0282556038122666,0.032031454406298454,0.03346819025623885,1.1336319202066527,1.1237509356072044,0.027826225866458724,0.0283267436864425,1.0179872693618457,False,False,False,relatively_stable_mode,behavioral association only; not a component or fault label
VMD,IMF5,39.90785813630041,0.0192954704508028,0.022575131876336953,0.02253301353908005,1.1699705344783362,1.0796150502743267,0.02019463430843115,0.01621342187714865,0.802857909161517,False,False,False,relatively_stable_mode,behavioral association only; not a component or fault label
SVMD,IMF6,46.31867176634214,0.0082656986987364,0.010930940358277151,0.00831520757442785,1.3224460214050506,0.8678262663378483,0.008176196196556474,0.00861642717269295,1.0538430054212313,False,True,False,angle_state_sensitive,behavioral association only; not a component or fault label
AVMD,IMF4,54.08118915159944,0.0158292077427879,0.020865180140419,0.0184671195472852,1.3181443114185736,1.0039635721455125,0.014865754489706624,0.01767924876806305,1.1892601065290218,False,True,False,angle_state_sensitive,behavioral association only; not a component or fault label
VMD,IMF6,54.08118915159944,0.0136370214815888,0.018320181607093,0.016668761956825498,1.3434151755078325,1.0318333120240097,0.01255451004874965,0.015632397863287302,1.245161922096985,False,True,False,angle_state_sensitive,behavioral association only; not a component or fault label
