frequency_cluster_id,representative_frequency_hz,minimum_frequency_hz,maximum_frequency_hz,supporting_method_count,supporting_methods,member_modes,angle_transition_method_count,angle_state_method_count,late_cycle_shift_method_count,behavior_candidates
F004,17.793810848400554,15.946627260083448,17.793810848400554,5,"AVMD,IOVMD,STVMD,SVMD,VMD",IOVMD:IMF3(15.95Hz);VMD:IMF2(16.19Hz);AVMD:IMF2(17.79Hz);IOVMD:IMF4(17.79Hz);STVMD:IMF3(17.79Hz);SVMD:IMF3(17.79Hz);VMD:IMF3(17.79Hz),1,5,1,"angle_state_sensitive,angle_transition_sensitive,late_cycle_shift"
F008,39.90785813630041,39.90785813630041,39.90785813630041,5,"AVMD,IOVMD,STVMD,SVMD,VMD",AVMD:IMF3(39.91Hz);IOVMD:IMF7(39.91Hz);STVMD:IMF5(39.91Hz);SVMD:IMF5(39.91Hz);VMD:IMF5(39.91Hz),0,0,0,relatively_stable_mode
F011,59.97479137691238,59.94871349095966,59.97479137691238,5,"AVMD,IOVMD,STVMD,SVMD,VMD",STVMD:IMF7(59.95Hz);AVMD:IMF5(59.97Hz);IOVMD:IMF8(59.97Hz);STVMD:IMF6(59.97Hz);SVMD:IMF7(59.97Hz);VMD:IMF7(59.97Hz),2,5,5,"angle_state_sensitive,angle_transition_sensitive,late_cycle_shift,relatively_stable_mode"
F013,80.04607093184978,80.04607093184978,80.04607093184978,5,"AVMD,IOVMD,STVMD,SVMD,VMD",AVMD:IMF6(80.05Hz);IOVMD:IMF10(80.05Hz);STVMD:IMF8(80.05Hz);SVMD:IMF9(80.05Hz);VMD:IMF9(80.05Hz),0,0,0,relatively_stable_mode
F014,90.29468011126563,90.29468011126563,90.49461057023645,5,"AVMD,IOVMD,STVMD,SVMD,VMD",AVMD:IMF7(90.29Hz);IOVMD:IMF11(90.29Hz);SVMD:IMF10(90.29Hz);VMD:IMF10(90.29Hz);STVMD:IMF9(90.49Hz),0,5,5,"angle_state_sensitive,late_cycle_shift"
F012,72.63125869262865,72.63125869262865,72.63125869262865,3,"IOVMD,SVMD,VMD",IOVMD:IMF9(72.63Hz);SVMD:IMF8(72.63Hz);VMD:IMF8(72.63Hz),0,1,3,"angle_state_sensitive,late_cycle_shift"
F005,20.07127955493741,20.07127955493741,20.07127955493741,2,"IOVMD,STVMD",IOVMD:IMF5(20.07Hz);STVMD:IMF4(20.07Hz),0,0,0,relatively_stable_mode
F007,35.626738525730175,35.626738525730175,35.626738525730175,2,"IOVMD,VMD",IOVMD:IMF6(35.63Hz);VMD:IMF4(35.63Hz),0,0,2,late_cycle_shift
F010,54.08118915159944,54.08118915159944,54.08118915159944,2,"AVMD,VMD",AVMD:IMF4(54.08Hz);VMD:IMF6(54.08Hz),0,2,0,angle_state_sensitive
F001,2.1905424200278163,2.1905424200278163,2.1905424200278163,1,STVMD,STVMD:IMF2(2.19Hz),0,0,0,relatively_stable_mode
F002,5.4242002781641165,5.4242002781641165,5.4242002781641165,1,IOVMD,IOVMD:IMF2(5.42Hz),0,0,0,relatively_stable_mode
F003,8.344923504867872,8.344923504867872,8.344923504867872,1,SVMD,SVMD:IMF2(8.34Hz),0,1,0,angle_state_sensitive
F006,29.263734353268426,29.263734353268426,29.263734353268426,1,SVMD,SVMD:IMF4(29.26Hz),0,1,0,angle_state_sensitive
F009,46.31867176634214,46.31867176634214,46.31867176634214,1,SVMD,SVMD:IMF6(46.32Hz),0,1,0,angle_state_sensitive
F015,97.83988178025034,97.83988178025034,97.83988178025034,1,STVMD,STVMD:IMF10(97.84Hz),0,1,0,angle_state_sensitive
