segment_id,angle_state_label,cycle_index_within_state,target_frequency_hz,window_count,median_band_rms_nm,q25_band_rms_nm,q75_band_rms_nm,median_local_peak_frequency_hz,q25_local_peak_frequency_hz,q75_local_peak_frequency_hz
10deg_1,stable_10deg,1,38.5,39,0.016270313432821894,0.014441763594749808,0.018157896515152205,39.84375,39.84375,39.84375
10deg_1,stable_10deg,1,60.0,39,0.010995552210752971,0.00940101468124002,0.012476971416029475,60.15625,60.15625,60.15625
10deg_2,stable_10deg,2,38.5,50,0.014097787944389081,0.012244389636869028,0.015685774972911518,39.84375,36.71875,39.84375
10deg_2,stable_10deg,2,60.0,50,0.009826133641950872,0.008931222565273369,0.010869767797165496,60.15625,60.15625,60.15625
10deg_3,stable_10deg,3,38.5,44,0.012236165224119307,0.011268288593587132,0.01389644614841522,35.15625,35.15625,35.9375
10deg_3,stable_10deg,3,60.0,44,0.014904117135116163,0.012966809436619745,0.017684673725573367,60.15625,60.15625,60.15625
43deg_1,stable_43deg,1,38.5,77,0.017553066464123607,0.015426677130557842,0.01971102971515214,38.28125,35.9375,39.0625
43deg_1,stable_43deg,1,60.0,77,0.017420501688282845,0.015514156423018927,0.020893490946448205,60.15625,60.15625,60.15625
43deg_2,stable_43deg,2,38.5,68,0.019634114399785206,0.017892104136625682,0.022141945302009722,39.84375,38.0859375,39.84375
43deg_2,stable_43deg,2,60.0,68,0.018187463376708665,0.015369520577345214,0.020686410884909637,60.15625,60.15625,60.15625
