method,target_frequency_hz,selected_mode,selected_global_peak_frequency_hz,segment_id,angle_state_label,cycle_index_within_state,window_count,median_mode_rms_nm,median_mode_envelope_nm,median_local_peak_frequency_hz
AVMD,38.5,IMF3,39.90785813630041,10deg_1,stable_10deg,1,43,0.0278410034300473,0.0344705256625051,39.5
AVMD,38.5,IMF3,39.90785813630041,43deg_1,stable_43deg,1,80,0.03109877729663105,0.039448868650281646,37.5
AVMD,38.5,IMF3,39.90785813630041,10deg_2,stable_10deg,2,54,0.02604504803127765,0.033332031843574556,40.0
AVMD,38.5,IMF3,39.90785813630041,43deg_2,stable_43deg,2,72,0.03198937795328015,0.0402453252937018,39.25
AVMD,38.5,IMF3,39.90785813630041,10deg_3,stable_10deg,3,48,0.02802422036308485,0.0357866712295715,35.5
AVMD,60.0,IMF5,59.97479137691238,10deg_1,stable_10deg,1,43,0.0146410986274266,0.0180433493158017,60.0
AVMD,60.0,IMF5,59.97479137691238,43deg_1,stable_43deg,1,80,0.02351027222798545,0.0305786865583965,60.0
AVMD,60.0,IMF5,59.97479137691238,10deg_2,stable_10deg,2,54,0.013977374195079849,0.0177316997047806,60.0
AVMD,60.0,IMF5,59.97479137691238,43deg_2,stable_43deg,2,72,0.0238470477885543,0.030632184946390847,60.0
AVMD,60.0,IMF5,59.97479137691238,10deg_3,stable_10deg,3,48,0.0201929997043699,0.02608367365330585,60.0
IOVMD,38.5,IMF7,39.90785813630041,10deg_1,stable_10deg,1,43,0.0206483962323823,0.0270807410114844,40.0
IOVMD,38.5,IMF7,39.90785813630041,43deg_1,stable_43deg,1,80,0.02026402147818375,0.02571968747266165,40.0
IOVMD,38.5,IMF7,39.90785813630041,10deg_2,stable_10deg,2,54,0.0193867458425226,0.02573640061016365,40.0
IOVMD,38.5,IMF7,39.90785813630041,43deg_2,stable_43deg,2,72,0.02417749107485785,0.0311605731576447,40.0
IOVMD,38.5,IMF7,39.90785813630041,10deg_3,stable_10deg,3,48,0.01602282171413955,0.020781585073470048,40.0
IOVMD,60.0,IMF8,59.97479137691238,10deg_1,stable_10deg,1,43,0.0134660416997356,0.0169177443615612,58.0
IOVMD,60.0,IMF8,59.97479137691238,43deg_1,stable_43deg,1,80,0.02319923571251465,0.02911837514836385,57.5
IOVMD,60.0,IMF8,59.97479137691238,10deg_2,stable_10deg,2,54,0.01279204028846085,0.0164395008168741,57.5
IOVMD,60.0,IMF8,59.97479137691238,43deg_2,stable_43deg,2,72,0.0224992016090983,0.028532219958276803,58.25
IOVMD,60.0,IMF8,59.97479137691238,10deg_3,stable_10deg,3,48,0.018125708988972748,0.02290041403506315,60.0
STVMD,38.5,IMF5,39.90785813630041,10deg_1,stable_10deg,1,43,0.023762941185229,0.0299520098689426,40.0
STVMD,38.5,IMF5,39.90785813630041,43deg_1,stable_43deg,1,80,0.02609130154353995,0.03394816594457305,38.0
STVMD,38.5,IMF5,39.90785813630041,10deg_2,stable_10deg,2,54,0.0220187063746283,0.02845970478217775,40.0
