method,target_frequency_hz,selected_mode,selected_global_peak_frequency_hz,frequency_difference_hz
AVMD,38.5,IMF3,39.90785813630041,1.407858136300412
AVMD,60.0,IMF5,59.97479137691238,0.025208623087621618
IOVMD,38.5,IMF7,39.90785813630041,1.407858136300412
IOVMD,60.0,IMF8,59.97479137691238,0.025208623087621618
STVMD,38.5,IMF5,39.90785813630041,1.407858136300412
STVMD,60.0,IMF6,59.97479137691238,0.025208623087621618
SVMD,38.5,IMF5,39.90785813630041,1.407858136300412
SVMD,60.0,IMF7,59.97479137691238,0.025208623087621618
VMD,38.5,IMF5,39.90785813630041,1.407858136300412
VMD,60.0,IMF7,59.97479137691238,0.025208623087621618
