method,mode,physical_role_candidate,global_peak_frequency_hz,window_index,start_sample,end_sample,start_time_s,end_time_s,center_time_s,angle_state_label,dominant_state_label,moving_fraction,estimated_angle_mean_deg,angle_velocity_rms_deg_s,local_peak_frequency_hz,local_spectral_centroid_hz,rms_nm,energy_nm2,mean_square_nm2,envelope_mean_nm,envelope_std_nm
AVMD,IMF1,angle_position_mode,0.008692628650904,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,,,0.13146052915739723,6.912748290537154,0.017281870726342886,0.13393436981524995,0.02184694068761589
AVMD,IMF2,background_dynamic_mode,17.793810848400554,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,16.5,17.163012137646092,0.06215626091598927,1.5453603084226142,0.0038634007710565354,0.080484352523271,0.03530514833338756
AVMD,IMF3,background_dynamic_mode,39.90785813630041,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,35.5,37.239753878901226,0.02950388632408026,0.34819172328970005,0.0008704793082242501,0.03741135033064791,0.01848010357168069
AVMD,IMF4,background_dynamic_mode,54.08118915159944,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,52.5,51.10176258225425,0.014936341020517928,0.08923771323248261,0.00022309428308120652,0.01820208670106285,0.01061135737792317
AVMD,IMF5,background_dynamic_mode,59.97479137691238,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,60.0,61.920074897856146,0.014400651697750396,0.08295150772796855,0.00020737876931992139,0.017950322075167148,0.009608274203741522
AVMD,IMF6,background_dynamic_mode,80.04607093184978,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,80.0,79.95037007542822,0.04029355856661699,0.6494283447845574,0.0016235708619613933,0.05550159240614439,0.012892719515588258
AVMD,IMF7,background_dynamic_mode,90.29468011126563,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,90.5,90.84723839120078,0.029582075150023496,0.3500396680726551,0.0008750991701816377,0.03831378208600471,0.01693509360068345
AVMD,IMF1,angle_position_mode,0.008692628650904,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,,,0.12554613295154837,6.304732599635145,0.015761831499087862,0.12827236256282065,0.021944179868029632
AVMD,IMF2,background_dynamic_mode,17.793810848400554,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,16.5,17.032097744754115,0.06418266594700049,1.6477658432257027,0.004119414608064257,0.08364177476138748,0.034557571609675125
AVMD,IMF3,background_dynamic_mode,39.90785813630041,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,40.0,37.25135976584947,0.0288004007305356,0.3317852328957743,0.0008294630822394356,0.03622253789492635,0.0186328939285912
AVMD,IMF4,background_dynamic_mode,54.08118915159944,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,53.0,52.15371187751639,0.011834332333092834,0.05602056870803459,0.00014005142177008647,0.01482285944519388,0.007729803956318748
AVMD,IMF5,background_dynamic_mode,59.97479137691238,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,60.0,61.30398347193646,0.014619846715144168,0.08549596718972469,0.00021373991797431173,0.017747912781818417,0.010638781317635355
AVMD,IMF6,background_dynamic_mode,80.04607093184978,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,80.0,79.96925953039,0.04071103582736868,0.6629553752549184,0.001657388438137296,0.055794047082192766,0.013875895731722286
AVMD,IMF7,background_dynamic_mode,90.29468011126563,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,90.5,90.765648980385,0.023861900908202033,0.2277561259811412,0.000569390314952853,0.03175178822168955,0.011221810256167288
AVMD,IMF1,angle_position_mode,0.008692628650904,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,,,0.12698854658240857,6.45043638524502,0.01612609096311255,0.13158084762135672,0.019058737107615145
AVMD,IMF2,background_dynamic_mode,17.793810848400554,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,16.5,17.301374886848862,0.06222385044529669,1.5487230256954598,0.0038718075642386494,0.08010861090907773,0.036010166615004495
AVMD,IMF3,background_dynamic_mode,39.90785813630041,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,40.0,37.33263968699094,0.028218866915420575,0.31852177999608716,0.0007963044499902179,0.03616524853669037,0.016890882637686715
AVMD,IMF4,background_dynamic_mode,54.08118915159944,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,53.5,52.43627702317625,0.012998286438105723,0.06758218013081727,0.00016895545032704316,0.016023261495303486,0.009009293652288551
AVMD,IMF5,background_dynamic_mode,59.97479137691238,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,60.0,60.88983577855532,0.013385234682547589,0.07166580300274995,0.00017916450750687487,0.016425515471560334,0.009428905344962522
AVMD,IMF6,background_dynamic_mode,80.04607093184978,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,80.0,79.77412548978282,0.04063627530979222,0.6605227484212914,0.0016513068710532286,0.05592277021202248,0.013150311264212254
AVMD,IMF7,background_dynamic_mode,90.29468011126563,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,90.5,90.87479395529193,0.02391366154662074,0.22874528342653097,0.0005718632085663274,0.03200328661760981,0.011762255703783033
AVMD,IMF1,angle_position_mode,0.008692628650904,3,300,699,1.5,3.495,2.5,stable_10deg,stable_10deg,0.0,10.774190929225304,1.8749248291910605,,,0.11256022963946484,5.067922118595623,0.012669805296489058,0.11697814500628688,0.0249898627028722
AVMD,IMF2,background_dynamic_mode,17.793810848400554,3,300,699,1.5,3.495,2.5,stable_10deg,stable_10deg,0.0,10.774190929225304,1.8749248291910605,16.5,17.43290868952174,0.059865243297183374,1.4335389420123836,0.003583847355030959,0.07762204543756562,0.034252381698081036
AVMD,IMF3,background_dynamic_mode,39.90785813630041,3,300,699,1.5,3.495,2.5,stable_10deg,stable_10deg,0.0,10.774190929225304,1.8749248291910605,40.0,38.06592999842371,0.028375206245220174,0.3220609317835128,0.000805152329458782,0.03681449351474557,0.015875845864070405
AVMD,IMF4,background_dynamic_mode,54.08118915159944,3,300,699,1.5,3.495,2.5,stable_10deg,stable_10deg,0.0,10.774190929225304,1.8749248291910605,53.5,52.8572255507431,0.01435456093631441,0.08242136786974547,0.00020605341967436366,0.017896123881516072,0.00964882508629827
AVMD,IMF5,background_dynamic_mode,59.97479137691238,3,300,699,1.5,3.495,2.5,stable_10deg,stable_10deg,0.0,10.774190929225304,1.8749248291910605,60.0,61.07457961641958,0.011688923564130921,0.05465237363523805,0.00013663093408809512,0.014600743635971676,0.007750036073626631
AVMD,IMF6,background_dynamic_mode,80.04607093184978,3,300,699,1.5,3.495,2.5,stable_10deg,stable_10deg,0.0,10.774190929225304,1.8749248291910605,80.0,79.80459984533735,0.04141146048521248,0.6859636238073257,0.0017149090595183142,0.05711730323731249,0.013293338140309249
AVMD,IMF7,background_dynamic_mode,90.29468011126563,3,300,699,1.5,3.495,2.5,stable_10deg,stable_10deg,0.0,10.774190929225304,1.8749248291910605,90.5,90.74942363576491,0.025518856845010252,0.26048482187045063,0.0006512120546761266,0.03381535357150691,0.012652558357003116
AVMD,IMF1,angle_position_mode,0.008692628650904,4,400,799,2.0,3.995,3.0,stable_10deg,stable_10deg,0.0,10.23743690578018,1.2741241105038132,,,0.11642352692259256,5.421775048438254,0.013554437621095634,0.11883871762258762,0.030755389981295234
AVMD,IMF2,background_dynamic_mode,17.793810848400554,4,400,799,2.0,3.995,3.0,stable_10deg,stable_10deg,0.0,10.23743690578018,1.2741241105038132,16.5,17.52389792073417,0.05961940189175439,1.4217892327722108,0.003554473081930527,0.07642637004758308,0.03572756737531591
AVMD,IMF3,background_dynamic_mode,39.90785813630041,4,400,799,2.0,3.995,3.0,stable_10deg,stable_10deg,0.0,10.23743690578018,1.2741241105038132,40.0,38.728819799876234,0.030224897015064738,0.36541775982850777,0.0009135443995712694,0.039245996562698136,0.016939487332543173
AVMD,IMF4,background_dynamic_mode,54.08118915159944,4,400,799,2.0,3.995,3.0,stable_10deg,stable_10deg,0.0,10.23743690578018,1.2741241105038132,53.5,53.021243675989474,0.015083149988714331,0.09100056543282126,0.00022750141358205314,0.018723480833391367,0.010288610400097872
AVMD,IMF5,background_dynamic_mode,59.97479137691238,4,400,799,2.0,3.995,3.0,stable_10deg,stable_10deg,0.0,10.23743690578018,1.2741241105038132,60.0,60.46659223566184,0.012017387079847808,0.057767036890757205,0.00014441759222689302,0.015105552092011993,0.007835259132370365
AVMD,IMF6,background_dynamic_mode,80.04607093184978,4,400,799,2.0,3.995,3.0,stable_10deg,stable_10deg,0.0,10.23743690578018,1.2741241105038132,80.0,79.97490687455159,0.040479319091994606,0.6554301096606076,0.001638575274151519,0.0559637207781802,0.01206091491386092
AVMD,IMF7,background_dynamic_mode,90.29468011126563,4,400,799,2.0,3.995,3.0,stable_10deg,stable_10deg,0.0,10.23743690578018,1.2741241105038132,90.5,90.70300261826083,0.027981124428663143,0.31317732971693174,0.0007829433242923293,0.03590818198599586,0.016286244748006006
AVMD,IMF1,angle_position_mode,0.008692628650904,5,500,899,2.5,4.495,3.5,stable_10deg,stable_10deg,0.0,10.014997468144232,0.572512500843341,,,0.11497689819291056,5.287874847225167,0.013219687118062918,0.11783928690183493,0.029828630566749264
AVMD,IMF2,background_dynamic_mode,17.793810848400554,5,500,899,2.5,4.495,3.5,stable_10deg,stable_10deg,0.0,10.014997468144232,0.572512500843341,16.5,17.644489668186388,0.06198523522880501,1.536867754548116,0.00384216938637029,0.08060892268888732,0.03523762580537719
AVMD,IMF3,background_dynamic_mode,39.90785813630041,5,500,899,2.5,4.495,3.5,stable_10deg,stable_10deg,0.0,10.014997468144232,0.572512500843341,39.5,38.23848711756314,0.030535422449827952,0.3729648096757827,0.0009324120241894568,0.03921676246454425,0.01807046553680492
AVMD,IMF4,background_dynamic_mode,54.08118915159944,5,500,899,2.5,4.495,3.5,stable_10deg,stable_10deg,0.0,10.014997468144232,0.572512500843341,53.5,52.98633390379023,0.014965799161863432,0.0895900578212929,0.00022397514455323224,0.018842333717226288,0.009638257029515067
AVMD,IMF5,background_dynamic_mode,59.97479137691238,5,500,899,2.5,4.495,3.5,stable_10deg,stable_10deg,0.0,10.014997468144232,0.572512500843341,60.0,60.61105008740043,0.011428093388708276,0.05224052740041512,0.0001306013185010378,0.014915076297786323,0.006279654477498025
AVMD,IMF6,background_dynamic_mode,80.04607093184978,5,500,899,2.5,4.495,3.5,stable_10deg,stable_10deg,0.0,10.014997468144232,0.572512500843341,80.0,79.94022555210135,0.04091409031409872,0.6695851144920907,0.0016739627862302267,0.05704765669849733,0.010351587635417906
AVMD,IMF7,background_dynamic_mode,90.29468011126563,5,500,899,2.5,4.495,3.5,stable_10deg,stable_10deg,0.0,10.014997468144232,0.572512500843341,90.5,90.86734114746453,0.02790559168726646,0.311488818966574,0.000778722047416435,0.03576583187314463,0.016550788448790005
AVMD,IMF1,angle_position_mode,0.008692628650904,6,600,999,3.0,4.995,4.0,stable_10deg,stable_10deg,0.0,10.0,0.0,,,0.116762795859934,5.453420198811449,0.013633550497028621,0.11790560217370533,0.032409348172862076
AVMD,IMF2,background_dynamic_mode,17.793810848400554,6,600,999,3.0,4.995,4.0,stable_10deg,stable_10deg,0.0,10.0,0.0,16.5,17.33513288649831,0.06542032036737509,1.7119273267879973,0.004279818316969993,0.08734174931371574,0.031139338517795753
AVMD,IMF3,background_dynamic_mode,39.90785813630041,6,600,999,3.0,4.995,4.0,stable_10deg,stable_10deg,0.0,10.0,0.0,40.0,37.601435044819546,0.03149235406901703,0.39670734592333345,0.0009917683648083336,0.03947734620537969,0.02057785170407799
AVMD,IMF4,background_dynamic_mode,54.08118915159944,6,600,999,3.0,4.995,4.0,stable_10deg,stable_10deg,0.0,10.0,0.0,53.5,52.259853604059785,0.013744731638518718,0.07556705912595897,0.00018891764781489744,0.017207558321814705,0.008999182056904588
AVMD,IMF5,background_dynamic_mode,59.97479137691238,6,600,999,3.0,4.995,4.0,stable_10deg,stable_10deg,0.0,10.0,0.0,60.0,61.29260454241805,0.01098321052312655,0.0482523653581271,0.00012063091339531776,0.014281704681696148,0.006088240068160165
AVMD,IMF6,background_dynamic_mode,80.04607093184978,6,600,999,3.0,4.995,4.0,stable_10deg,stable_10deg,0.0,10.0,0.0,80.0,79.84474382068545,0.04215625103509655,0.7108598005336316,0.001777149501334079,0.05866606125321293,0.01064488496245449
AVMD,IMF7,background_dynamic_mode,90.29468011126563,6,600,999,3.0,4.995,4.0,stable_10deg,stable_10deg,0.0,10.0,0.0,90.5,90.86887511386324,0.029466910898957078,0.3473195351708302,0.0008682988379270755,0.038361965787411995,0.01583544940334236
