method,mode,physical_role_candidate,global_peak_frequency_hz,window_index,start_sample,end_sample,start_time_s,end_time_s,center_time_s,angle_state_label,dominant_state_label,moving_fraction,estimated_angle_mean_deg,angle_velocity_rms_deg_s,local_peak_frequency_hz,local_spectral_centroid_hz,rms_nm,energy_nm2,mean_square_nm2,envelope_mean_nm,envelope_std_nm
STVMD,IMF1,angle_position_mode,0.008692628650904,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,,,0.12455849759280635,6.205927729030858,0.015514819322577145,0.12598164666087347,0.01378616316413438
STVMD,IMF2,background_dynamic_mode,2.1905424200278163,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,1.0,1.9676476031008672,0.028644770432581262,0.3282091492541127,0.0008205228731352818,0.03352575389372041,0.019468189919790466
STVMD,IMF3,background_dynamic_mode,17.793810848400554,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,16.5,16.259328462037452,0.053844317431918566,1.1596842078836838,0.0028992105197092094,0.07415426090020696,0.01720077052915202
STVMD,IMF4,background_dynamic_mode,20.07127955493741,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,20.0,20.288210071013733,0.030541560920024358,0.3731147773726236,0.000932786943431559,0.04157326760421794,0.011874548568921443
STVMD,IMF5,background_dynamic_mode,39.90785813630041,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,40.0,38.50352186016725,0.02481484881876162,0.24631068875919807,0.0006157767218979951,0.03185121990278668,0.014716206082508135
STVMD,IMF6,background_dynamic_mode,59.97479137691238,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,52.5,52.34447446686751,0.013368038358889596,0.07148177982589746,0.00017870444956474363,0.016044739969841303,0.009897547337886536
STVMD,IMF7,background_dynamic_mode,59.94871349095966,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,60.0,60.59039944261308,0.013374676271737036,0.07155278614950628,0.0001788819653737657,0.01767527832710797,0.00665912404483862
STVMD,IMF8,background_dynamic_mode,80.04607093184978,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,80.0,80.06222538740623,0.039309028627602764,0.6180798926582776,0.0015451997316456938,0.05428873060948487,0.011941887990286613
STVMD,IMF9,background_dynamic_mode,90.49461057023645,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,90.5,90.31989496844677,0.026409066186812304,0.27897551074377314,0.0006974387768594329,0.035743625600606614,0.010663202292851637
STVMD,IMF10,background_dynamic_mode,97.83988178025034,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,91.5,92.71509991539169,0.010771774638842869,0.04641245154800736,0.0001160311288700184,0.012991626357821412,0.008086422559814602
STVMD,IMF1,angle_position_mode,0.008692628650904,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,,,0.12753732422228894,6.506307627912501,0.016265769069781253,0.1300616822416569,0.005490335908989827
STVMD,IMF2,background_dynamic_mode,2.1905424200278163,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,1.0,2.4321413682487982,0.022396106057423846,0.2006342266141508,0.000501585566535377,0.028778174620883838,0.015020004947160458
STVMD,IMF3,background_dynamic_mode,17.793810848400554,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,16.5,16.450760092879417,0.0546198996713603,1.1933333760437859,0.002983333440109465,0.07491510937111871,0.01853834315689729
STVMD,IMF4,background_dynamic_mode,20.07127955493741,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,20.0,20.163697605399832,0.03234872738551089,0.4185760653848408,0.001046440163462102,0.04409941976520227,0.01220046294888167
STVMD,IMF5,background_dynamic_mode,39.90785813630041,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,40.0,38.56957850717075,0.024219175019463912,0.2346273754493699,0.0005865684386234248,0.030936349288442366,0.014731758901464448
STVMD,IMF6,background_dynamic_mode,59.97479137691238,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,53.0,52.968285084200375,0.010142004201137964,0.04114409968636004,0.0001028602492159001,0.0126689027494433,0.0066868284847089125
STVMD,IMF7,background_dynamic_mode,59.94871349095966,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,60.0,60.1778960035237,0.01319572990144574,0.06965091505276369,0.00017412728763190922,0.017113465307865137,0.007468289963976547
STVMD,IMF8,background_dynamic_mode,80.04607093184978,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,80.0,80.08651773040478,0.03988581341175134,0.6363512446068172,0.0015908781115170432,0.055305225694301255,0.010690995383729366
STVMD,IMF9,background_dynamic_mode,90.49461057023645,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,90.5,90.29547116328254,0.021335136071599797,0.18207521247747152,0.0004551880311936788,0.029509307875967634,0.005425925500978277
STVMD,IMF10,background_dynamic_mode,97.83988178025034,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,91.5,92.73255354371881,0.007585903633881925,0.023018373577017196,5.754593394254299e-05,0.010004282728842413,0.004176739768830064
STVMD,IMF1,angle_position_mode,0.008692628650904,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,,,0.12103853835819417,5.860131107155217,0.014650327767888043,0.12454356595917065,0.008446605344161652
STVMD,IMF2,background_dynamic_mode,2.1905424200278163,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,2.0,2.704978354723859,0.018406862865909267,0.13552504022575582,0.00033881260056438953,0.024811573023314736,0.012563708664001905
STVMD,IMF3,background_dynamic_mode,17.793810848400554,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,16.5,16.44312421946592,0.05419743676096976,1.1749448605837265,0.0029373621514593162,0.0735460297531601,0.02101173236728252
STVMD,IMF4,background_dynamic_mode,20.07127955493741,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,20.0,20.35562362614305,0.030797978764768846,0.3794061983980611,0.0009485154959951528,0.041931502067686054,0.011881995283213322
STVMD,IMF5,background_dynamic_mode,39.90785813630041,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,40.0,38.57107822445777,0.02417157762063973,0.2337060658682446,0.0005842651646706115,0.03155491797903153,0.01317527184588757
STVMD,IMF6,background_dynamic_mode,59.97479137691238,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,53.5,53.277483601840174,0.011441472464344484,0.05236291686094122,0.00013090729215235305,0.014158453065920736,0.0078361829121564
STVMD,IMF7,background_dynamic_mode,59.94871349095966,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,60.0,59.90537393201339,0.012060658504548119,0.05818379342533155,0.00014545948356332888,0.015555692356768885,0.007014052458508842
STVMD,IMF8,background_dynamic_mode,80.04607093184978,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,80.0,80.0030412521707,0.03985290505477672,0.6353016165220191,0.0015882540413050478,0.055426977391975656,0.010116209012903925
STVMD,IMF9,background_dynamic_mode,90.49461057023645,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,90.5,90.38899323475503,0.021240186473126678,0.1804582085652774,0.00045114552141319346,0.029607130132003147,0.005835793693450748
STVMD,IMF10,background_dynamic_mode,97.83988178025034,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,92.0,93.35609154357671,0.007010629430538874,0.019659570004935123,4.914892501233781e-05,0.009145970430869194,0.00407375493016421
