method,mode,physical_role_candidate,global_peak_frequency_hz,window_index,start_sample,end_sample,start_time_s,end_time_s,center_time_s,angle_state_label,dominant_state_label,moving_fraction,estimated_angle_mean_deg,angle_velocity_rms_deg_s,local_peak_frequency_hz,local_spectral_centroid_hz,rms_nm,energy_nm2,mean_square_nm2,envelope_mean_nm,envelope_std_nm
VMD,IMF1,angle_position_mode,0.008692628650904,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,,,0.13076348453339026,6.839635554925676,0.017099088887314193,0.13322159404611766,0.01756970071810011
VMD,IMF2,background_dynamic_mode,16.18567454798331,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,16.5,16.27553737819038,0.05189816216675434,1.0773676945146926,0.0026934192362867313,0.07177329373039047,0.015211720966853332
VMD,IMF3,background_dynamic_mode,17.793810848400554,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,20.0,19.504491271253155,0.024046896948947086,0.23130130114931224,0.0005782532528732806,0.03101909498380826,0.013912234585640343
VMD,IMF4,angle_movement_response_candidate,35.626738525730175,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,35.5,35.254166343862934,0.02024519607499824,0.16394718564604965,0.0004098679641151241,0.026812987556092082,0.010021237748219676
VMD,IMF5,background_dynamic_mode,39.90785813630041,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,40.0,39.92899012471255,0.0225051051147947,0.20259190249118342,0.0005064797562279585,0.030600099030270035,0.008710826267662035
VMD,IMF6,background_dynamic_mode,54.08118915159944,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,52.5,52.73869920261933,0.011758105866989773,0.05530122143173573,0.0001382530535793393,0.014697214771114367,0.00771392283025114
VMD,IMF7,background_dynamic_mode,59.97479137691238,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,60.0,60.36352776844897,0.012935548468934653,0.06693136567686306,0.00016732841419215766,0.01734859878851563,0.005805341241746662
VMD,IMF8,background_dynamic_mode,72.63125869262865,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,72.5,71.78899434739294,0.011626498659255285,0.054070188429465975,0.00013517547107366493,0.015206945322918598,0.0061606352621141535
VMD,IMF9,background_dynamic_mode,80.04607093184978,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,80.0,80.10779006220397,0.039045739917212066,0.609827922273027,0.0015245698056825675,0.05365633146196894,0.013049431271196999
VMD,IMF10,background_dynamic_mode,90.29468011126563,0,0,399,0.0,1.995,1.0,stable_10deg,stable_10deg,0.0,14.528467559293118,3.2641386684363827,90.5,90.7168466454994,0.028461523898981066,0.32402333706090813,0.0008100583426522704,0.037374624994602354,0.015048730667707021
VMD,IMF1,angle_position_mode,0.008692628650904,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,,,0.12470961213495858,6.220994943540724,0.01555248735885181,0.12738563444918286,0.016955771307384102
VMD,IMF2,background_dynamic_mode,16.18567454798331,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,16.5,16.39164095857836,0.05105494690276607,1.0426430412977048,0.002606607603244262,0.07045803665773402,0.015653814188070325
VMD,IMF3,background_dynamic_mode,17.793810848400554,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,20.0,19.03245787430377,0.025912841509486566,0.268590142038308,0.00067147535509577,0.03338898424553169,0.015040186496565187
VMD,IMF4,angle_movement_response_candidate,35.626738525730175,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,35.5,35.103230915771626,0.019738124459629528,0.1558374228735302,0.0003895935571838255,0.026101370533862845,0.009878766323174037
VMD,IMF5,background_dynamic_mode,39.90785813630041,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,40.0,39.976414622067665,0.021298997948894113,0.18145892545079828,0.0004536473136269957,0.02910160948606374,0.007818418569166657
VMD,IMF6,background_dynamic_mode,54.08118915159944,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,53.0,53.36218089384209,0.010000078252576124,0.04000062602305837,0.00010000156505764593,0.01237407150350749,0.006807206387871152
VMD,IMF7,background_dynamic_mode,59.97479137691238,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,60.0,59.991654870175005,0.012934025872817499,0.06691561011148499,0.00016728902527871246,0.016961902616985398,0.00687118411654425
VMD,IMF8,background_dynamic_mode,72.63125869262865,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,72.5,72.29707726829817,0.012505875148239459,0.06255876528934132,0.0001563969132233533,0.016429035118993202,0.006581407040620643
VMD,IMF9,background_dynamic_mode,80.04607093184978,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,80.0,80.12704759791629,0.03972725838160033,0.6313020234073734,0.0015782550585184336,0.05523464711264467,0.00987155218978163
VMD,IMF10,background_dynamic_mode,90.29468011126563,1,100,499,0.5,2.495,1.5,stable_10deg,stable_10deg,0.0,12.986225055331623,2.942640810697979,90.5,90.61184486461897,0.02290263328704169,0.20981224459228404,0.0005245306114807101,0.030904429549983462,0.00926180630536624
VMD,IMF1,angle_position_mode,0.008692628650904,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,,,0.12586405655999933,6.336704293495483,0.01584176073373871,0.1303594346958704,0.014867856598756448
VMD,IMF2,background_dynamic_mode,16.18567454798331,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,16.5,16.42844536954397,0.05099769268186497,1.0403058635495777,0.0026007646588739443,0.07047520840115083,0.014809938545275233
VMD,IMF3,background_dynamic_mode,17.793810848400554,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,20.0,19.236223854047147,0.027215807596469785,0.29628007325122496,0.0007407001831280624,0.034467038398794975,0.017118859392813317
VMD,IMF4,angle_movement_response_candidate,35.626738525730175,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,35.5,35.2052906275292,0.01806253018064296,0.1305019986106551,0.00032625499652663774,0.023834332391741642,0.009243807131863326
VMD,IMF5,background_dynamic_mode,39.90785813630041,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,40.0,39.898779632278995,0.022577729651189295,0.20390155048087688,0.0005097538762021922,0.031112213328629713,0.00731221145647087
VMD,IMF6,background_dynamic_mode,54.08118915159944,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,53.5,53.705658154817435,0.011563804301695915,0.053488627971168386,0.00013372156992792097,0.014255654466470096,0.008018930533503475
VMD,IMF7,background_dynamic_mode,59.97479137691238,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,60.0,59.7070328021972,0.011831132798998438,0.055990281323014646,0.0001399757033075366,0.015393979726115307,0.006570941976271543
VMD,IMF8,background_dynamic_mode,72.63125869262865,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,72.5,72.87990551127955,0.012349248909744358,0.06100157945392889,0.0001525039486348222,0.015922403780034722,0.0071507983282014746
VMD,IMF9,background_dynamic_mode,80.04607093184978,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,80.0,80.08894268289255,0.039689975418994425,0.6301176595041527,0.0015752941487603817,0.055351459105188995,0.009218547835510085
VMD,IMF10,background_dynamic_mode,90.29468011126563,2,200,599,1.0,2.995,2.0,stable_10deg,stable_10deg,0.0,11.680634979666852,2.450008988615137,90.5,90.66566281952673,0.023135237303127717,0.21409568202881288,0.0005352392050720322,0.031261748725058436,0.010241575603575593
